Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
1,11211,10559.94672,10576.32951,10555.85982,10585.05078,10663.15663,,19473.00917,19420.36493,7383.684948,12990.26441,3485.004437
2,3800,6121.369304,6116.951296,6131.862908,6091.001957,6043.532153,,5610.677899,5595.509731,5772.204306,5202.987833,3153.998879
3,5167,3949.221874,3939.880789,3951.226257,3941.89639,3899.471835,,2709.512942,2702.187918,4268.976363,3031.769163,2854.432214
4,3366,2737.581627,2728.539415,2734.843693,2740.688566,2713.358276,,1616.581506,1612.211164,3211.557063,2059.665268,2583.318376
5,2212,1998.097216,1990.631801,1993.650413,2003.98043,1988.428589,,1082.983788,1080.055999,2473.531703,1522.024267,2337.954918
6,1966,1516.101476,1510.294729,1511.403595,1521.767855,1514.123345,,780.6808,778.5702712,1946.712883,1186.175591,2115.89607
7,1117,1185.758964,1181.37564,1181.415116,1190.273013,1187.704339,,591.9549966,590.3546779,1560.938462,959.001288,1914.92836
8,817,950.2041199,946.9635068,946.4218133,953.4297413,954.0471103,,465.7789685,464.51976,1271.730255,796.449994,1733.048555
9,671,776.7649654,774.4182931,773.5765767,778.8437821,781.4164458,,377.0069801,375.9877619,1050.388268,675.1656456,1568.443684
10,588,645.6327533,643.9785288,642.9986894,646.777998,650.5087048,,312.0356566,311.1920849,877.9096121,581.6911559,1419.472977
11,457,544.2555225,543.1360853,542.1111317,544.6752744,549.0476467,,262.9631429,262.2522361,741.3800633,507.7645683,1284.6515
12,401,464.3805336,463.6741392,462.6568946,464.2530924,468.9328158,,224.9343423,224.3262443,631.808505,448.0524772,1162.635361
13,329,400.4089837,400.0219613,399.0415812,399.878619,404.650075,,194.8273088,194.3006035,542.7969778,398.9690129,1052.208309
14,263,348.4388012,348.2990075,347.370616,347.6188354,352.344333,,170.5575542,170.0964609,469.7028438,358.0206747,952.2696132
15,216,305.6859943,305.7376845,304.8680766,304.6639385,309.2572748,,150.6885024,150.2811241,409.0976969,323.4237039,861.82309
16,239,270.1230373,270.3229527,269.5140101,268.9657416,273.3748901,,134.2029751,133.8401645,358.409717,293.8708071,779.9671734
17,188,240.2462314,240.5606466,239.8114046,239.0043606,243.2000266,,120.3637398,120.0383429,315.6821848,268.3836445,705.8859279
18,203,214.922157,215.3246577,214.6325636,213.6338445,217.6018326,,108.6254678,108.3318047,279.4072246,246.2165743,638.8409156
19,155,193.2839924,193.7538005,193.1154813,191.9777334,195.7138176,,98.57748169,98.31098274,248.4092951,226.7921029,578.1638354
20,148,174.6600641,175.1807704,174.5924993,173.3569669,176.8634232,,89.90554808,89.66249324,221.7622089,209.6565454,523.2498615
21,123,158.5236941,159.0822954,158.5402716,157.2392185,160.52247,,82.36578692,82.14311542,198.7291537,194.4489152,473.5516142
22,104,144.4574089,145.0435711,144.5440842,143.2027012,146.2717161,,75.7664869,75.56165625,178.7187473,180.8786773,428.5737041
23,108,132.1270062,132.7324985,132.2720202,130.909923,133.7751256,,69.95519622,69.76607609,161.2524365,168.7095679,387.8677938
24,122,121.2625043,121.8807612,121.4559919,120.0883982,122.7609302,,64.80940526,64.6341965,145.9400344,157.7476433,351.028129
25,84,111.643969,112.2697493,111.8776372,110.5162898,113.0075151,,60.22971973,60.06689191,132.4611664,147.8323298,317.6874938
26,86,103.0908447,103.7199653,103.3577083,102.0116021,104.332778,,56.13478973,55.98303233,120.5510611,138.8296342,287.5135505
27,85,95.45383671,96.0829628,95.74800122,94.42395535,96.58602023,,52.45749553,52.3156795,109.9895675,130.6269344,260.205527
28,86,88.60867346,89.23515289,88.92515572,87.62826608,89.64170717,,49.14204534,49.00919245,100.5925943,123.1289387,235.4912183
29,80,82.45126723,83.0729988,82.78584791,81.51984492,83.39462166,,46.14174351,46.01700178,92.20538319,116.2545207,213.1242734
30,72,76.89392833,77.50925678,77.24302977,76.01056242,77.75606798,,43.41725731,43.29988108,84.69718447,109.9342181,192.8817399
31,74,71.86237895,72.47001073,72.22296389,71.02582553,72.65087425,,40.93525861,40.82459233,77.95701328,104.1082381,174.5618413
32,63,67.29337993,67.89231546,67.66286744,66.50217566,68.01500796,,38.66735026,38.56281514,71.89024431,98.72485564,157.9819658
33,58,63.13283139,63.72231031,63.50902666,62.38536695,63.79366553,,36.58921088,36.4902939,66.41586297,93.73911652,142.9768461
34,64,59.3342422,59.91369906,59.715278,58.6288185,59.93973182,,34.67990843,34.58615316,61.46423338,89.11178106,129.396912
35,49,55.85748917,56.42651733,56.24177669,55.19236016,56.41252998,,32.92134558,32.83234449,56.97527599,84.80845748,117.1067994
36,54,52.66780491,53.22612712,53.05399252,52.04120993,53.17680114,,31.29780848,31.21319653,52.896972,80.79888702,105.9840011
