Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognornal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
1,286895,270881.4897,270560.4667,271148.3754,272110.0381,267528.559,,427497.5407,427497.5407,177434.8592,298443.8907,93329.89415
2,114542,125981.6479,125488.826,125865.2575,125355.4002,124074.3285,,108929.254,108929.254,128632.8861,108551.5372,81139.66241
3,58863,71952.76158,71882.45458,71840.0935,71401.58318,72274.41809,,48955.35203,48955.35203,89451.55436,59755.61334,70541.65094
4,36633,46250.24615,46342.93719,46170.00944,45891.13953,47166.68557,,27755.90794,27755.90794,63915.68173,38976.66538,61327.89279
5,27869,32105.31007,32242.84476,32050.91605,31884.61987,33074.09721,,17873.02437,17873.02437,47088.49883,27900.04806,53317.58449
6,23752,23524.40167,23663.08121,23487.88903,23392.44926,24390.66746,,12474.15358,12474.15358,35634.9149,21180.82291,46353.53812
7,19255,17942.1132,18067.41497,17917.73024,17866.18554,18675.37108,,9203.582146,9203.582146,27585.64648,16745.72562,40299.09675
8,15987,14114.32615,14222.76316,14098.22799,14073.99637,14722.51831,,7072.392374,7072.392374,21767.33096,13638.42498,35035.45285
9,14154,11379.49957,11471.61824,11369.13573,11362.01108,11880.51848,,5606.176093,5606.176093,17458.48655,11362.56539,30459.31684
10,11523,9360.023393,9437.678734,9353.683284,9357.297521,9772.334366,,4554.167045,4554.167045,14200.31021,9637.400515,26480.89026
11,10037,7827.857403,7893.157442,7824.374964,7834.690654,8167.690298,,3773.643451,3773.643451,11691.78897,8293.364524,23022.10364
12,8739,6638.813061,6693.729647,6637.379847,6651.799199,6919.628288,,3178.498388,3178.498388,9729.844603,7222.594016,20015.0845
13,7552,5698.171965,5744.420192,5698.21841,5715.049755,5930.872811,,2714.268981,2714.268981,8174.044911,6353.530869,17400.82547
14,6768,4941.673001,4980.6969,4942.791951,4960.924273,5135.013779,,2345.134749,2345.134749,6925.133738,5637.022437,15128.02641
15,6207,4324.497517,4357.494687,4326.394132,4345.094585,4485.4951,,2046.749084,2046.749084,5911.584422,5038.303327,13152.08773
16,5726,3814.630028,3842.58734,3817.088381,3835.873912,3948.919561,,1802.093234,1802.093234,5080.954188,4532.162048,11434.23518
17,5230,3388.717126,3412.446385,3391.577542,3410.132056,3500.841501,,1598.979055,1598.979055,4394.192137,4099.916614,9940.758966
18,4858,3029.406431,3049.576029,3032.54987,3050.669921,3123.045626,,1428.491445,1428.491445,3821.810893,3727.460278,8642.352313
19,4230,2723.591186,2740.752752,2726.928307,2744.486987,2801.741852,,1283.986931,1283.986931,3341.261521,3403.962965,7513.536316
20,3744,2461.225014,2475.835295,2464.688419,2481.61104,2526.340541,,1160.432451,1160.432451,2935.101751,3120.986961,6532.159987
21,2859,2234.504862,2246.943452,2238.043522,2254.291067,2288.604647,,1053.958353,1053.958353,2589.697234,2871.871486,5678.965576
22,2234,2037.297135,2047.880752,2040.872335,2056.430089,2082.052054,,961.5497799,961.5497799,2294.287251,2651.296014,4937.210675
23,2001,1864.727787,1873.721754,1868.310148,1883.179827,1901.52731,,880.8295543,880.8295543,2040.303588,2454.96499,4292.339673
24,1885,1712.885001,1720.512474,1716.452265,1730.646545,1742.890147,,809.9028074,809.9028074,1820.867841,2279.376602,3731.698136
25,1604,1578.600497,1585.049905,1582.135873,1595.674557,1602.785837,,747.2440649,747.2440649,1630.416216,2121.650758,3244.284478
26,1630,1459.286603,1464.71766,1462.777518,1475.684859,1478.473745,,691.6140263,691.6140263,1464.41652,1979.399446,2820.534082
27,1446,1352.813435,1357.36201,1356.250583,1368.553406,1367.697869,,641.997434,641.997434,1319.152637,1850.62787,2452.131606
28,1293,1257.415297,1261.197385,1260.791906,1272.518304,1268.588028,,597.5561365,597.5561365,1191.558879,1733.658214,2131.847812
29,1231,1171.618628,1174.733586,1174.929905,1186.108328,1179.583697,,557.593241,557.593241,1079.091624,1627.070285,1853.397707
30,1137,1094.186019,1096.719231,1097.428711,1108.087348,1099.374772,,521.5254584,521.5254584,979.6290358,1529.654844,1611.317205
31,1077,1024.072336,1026.097398,1027.244392,1037.410755,1026.855094,,488.8615677,488.8615677,891.3921609,1440.376607,1400.855913
32,932,960.3900481,961.9705806,963.4903561,973.1910052,961.0856973,,459.1854993,459.1854993,812.8824015,1358.344672,1217.883904
33,845,902.3816213,903.5727728,905.4097977,914.6701777,901.2655376,,432.1429389,432.1429389,742.8316495,1282.78871,1058.810681
34,866,849.3973863,850.2470859,852.3536131,861.197958,846.708001,,407.4306379,407.4306379,680.1622685,1213.039648,920.5147185
35,869,800.8776696,801.4276747,803.7625649,812.2138558,796.8219381,,384.7878229,384.7878229,623.9547942,1148.513911,800.2822051
36,906,756.3382793,756.6250553,759.1527942,767.2327543,751.0962529,,363.989246,363.989246,573.4217194,1088.700479,695.7537941
37,782,715.3586449,715.4141056,718.1039825,725.8330961,709.0873071,,344.8395275,344.8395275,527.8861077,1033.150186,604.8783027
38,711,677.5720714,677.4242054,680.2496218,687.6471709,670.4085683,,327.168522,327.168522,486.7640599,981.4668471,525.8724627
39,643,642.6576882,642.3310894,645.268977,652.3530881,634.7220591,,310.8275038,310.8275038,449.5502708,933.2998379,457.1859261
40,572,610.3337645,609.8500841,612.8804124,619.66811,601.7312571,,295.686008,295.686008,415.8060796,888.3378772,397.470843
