C1,C2
1,3511
2,2755
3,2606
4,2797
5,2262
6,2438
7,2455
8,2194
9,2176
10,2357
11,2234
12,2182
13,2112
14,1865
15,1873
16,1750
17,1793
18,1742
19,1728
20,1627
21,1528
22,1496
23,1532
24,1543
25,1438
26,1397
27,1280
28,1294
29,1294
30,1299
31,1356
32,1255
33,1263
34,1235
35,1188
36,1169
37,1234
38,1129
39,1120
40,1030
41,1023
42,999
43,1008
44,993
45,1015
46,930
47,887
48,921
49,859
50,886
51,826
52,836
53,900
54,754
55,769
56,750
57,763
58,804
59,705
60,689
61,734
62,674
63,680
64,673
65,674
66,667
67,712
68,665
69,670
70,647
71,663
72,635
73,598
74,571
75,605
76,587
77,561
78,580
79,552
80,568
81,540
82,516
83,573
84,516
85,504
86,517
87,525
88,480
89,457
90,469
91,494
92,482
93,443
94,427
95,433
96,440
97,418
98,436
99,471
100,409
101,391
102,378
103,363
104,412
105,367
106,374
107,345
108,353
109,375
110,347
111,329
112,323
113,321
114,366
115,315
116,299
117,342
118,323
119,327
120,335
121,272
122,326
123,293
124,310
125,294
126,284
127,296
128,276
129,292
130,258
131,289
132,306
133,297
134,277
135,284
136,247
137,299
138,282
139,274
140,268
141,258
142,272
143,247
144,245
145,255
146,218
147,264
148,223
149,236
150,263
151,249
152,246
153,217
154,206
155,243
156,227
157,221
158,258
159,215
160,215
161,231
162,246
163,213
164,244
165,204
166,247
167,201
168,213
169,214
170,213
171,247
172,198
173,193
174,207
175,190
176,207
177,196
178,166
179,214
180,194
181,161
182,180
183,181
184,162
185,187
186,185
187,200
188,181
189,145
190,176
191,183
192,193
193,171
194,197
195,172
196,160
197,171
198,167
199,172
200,171
201,167
202,154
203,157
204,176
205,175
206,160
207,154
208,171
209,173
210,133
211,140
212,162
213,174
214,161
215,162
216,142
217,159
218,162
219,119
220,159
221,151
222,145
223,148
224,130
225,133
226,132
227,146
228,147
229,155
230,139
231,157
232,149
233,118
234,148
235,119
236,124
237,119
238,116
239,148
240,145
241,134
242,126
243,121
244,123
245,128
246,120
247,131
248,145
249,97
250,109
251,135
252,115
253,119
254,134
255,116
256,79
257,113
258,104
259,106
260,105
261,127
262,106
263,130
264,98
265,126
266,120
267,105
268,113
269,105
270,108
271,95
272,92
273,109
274,94
275,113
276,94
277,97
278,111
279,93
280,105
281,107
282,96
283,104
284,106
285,112
286,95
287,88
288,111
289,96
290,106
291,103
292,96
293,100
294,104
295,98
296,110
297,95
298,111
299,99
300,114
301,90
302,86
303,99
304,91
305,98
306,72
307,100
308,84
309,104
310,92
311,101
312,88
313,98
314,98
315,101
316,85
317,83
318,100
319,88
320,88
321,99
322,89
323,88
324,98
325,88
326,105
327,99
328,77
329,89
330,66
331,74
332,84
333,83
334,61
335,85
336,83
337,89
338,79
339,68
340,92
341,84
342,90
343,78
344,84
345,92
346,84
347,86
348,77
349,74
350,82
351,75
352,80
353,89
354,73
355,76
356,93
357,79
358,76
359,74
360,76
361,75
362,69
363,85
364,80
365,79
366,84
367,84
368,76
369,81
370,71
371,91
372,70
373,87
374,62
375,80
376,75
377,88
378,75
379,70
380,72
381,71
382,69
383,59
384,76
385,81
386,59
387,61
388,61
389,58
390,73
391,78
392,62
393,75
394,73
395,63
396,77
397,67
398,64
399,63
400,79
401,69
402,72
403,68
404,67
405,61
406,78
407,64
408,78
409,64
410,43
411,69
412,60
413,60
414,71
415,55
416,75
417,55
418,67
419,64
420,50
421,43
422,57
423,66
424,64
425,56
426,51
427,58
428,57
429,61
430,65
431,62
432,55
433,46
434,64
435,53
436,56
437,57
438,43
439,50
440,62
441,56
442,62
443,50
444,56
445,47
446,54
447,54
448,54
449,47
450,61
451,54
452,44
453,69
454,54
455,66
456,52
457,54
458,45
459,54
460,58
461,56
462,43
463,55
464,58
465,43
466,56
467,39
468,64
469,65
470,47
471,48
472,55
473,48
474,49
475,50
476,54
477,53
478,52
479,52
480,45
481,48
482,57
483,61
484,45
485,50
486,44
487,53
488,54
489,50
490,42
491,47
492,47
493,49
494,39
495,44
496,51
497,53
498,42
499,35
500,44
501,49
502,43
503,40
504,40
505,41
506,48
507,39
508,54
509,39
510,55
511,50
512,44
513,65
514,45
515,35
516,45
517,47
518,32
519,48
520,36
521,43
522,46
523,36
524,40
525,48
526,30
527,38
528,40
529,45
530,33
531,37
532,44
533,38
534,48
535,46
536,54
537,40
538,38
539,40
540,35
541,33
542,37
543,39
544,41
545,46
546,52
547,35
548,36
549,36
550,39
551,41
552,29
553,55
554,36
555,41
556,39
557,51
558,40
559,31
560,45
561,40
562,35
563,43
564,38
565,56
566,40
567,46
568,38
569,43
570,37
571,28
572,34
573,26
574,44
575,33
576,42
577,38
578,28
579,40
580,31
581,41
582,35
583,35
584,43
585,38
586,34
587,38
588,30
589,35
590,25
591,34
592,32
593,34
594,26
595,30
596,28
597,34
598,28
599,43
600,31
601,36
602,32
603,34
604,32
605,37
606,35
607,39
608,36
609,30
610,25
611,22
612,37
613,16
614,28
615,25
616,27
617,31
618,33
619,30
620,23
621,25
622,33
623,31
624,28
625,30
626,30
627,27
628,32
629,34
630,26
631,35
632,31
633,45
634,27
635,32
636,25
637,31
638,34
639,35
640,30
641,30
642,32
643,29
644,30
645,32
646,44
647,33
648,28
649,20
650,30
651,35
652,29
653,34
654,31
655,25
656,14
657,27
658,27
659,31
660,27
661,25
662,25
663,31
664,11
665,27
666,30
667,36
668,22
669,29
670,31
671,28
672,27
673,30
674,23
675,18
676,22
677,34
678,20
679,22
680,33
681,27
682,18
683,29
684,29
685,30
686,10
687,31
688,20
689,22
690,22
691,28
692,22
693,22
694,26
695,27
696,20
697,23
698,25
699,27
700,25
701,33
702,24
703,24
704,24
705,28
706,23
707,19
708,18
709,22
710,27
711,19
712,16
713,26
714,14
715,38
716,27
717,24
718,21
719,21
720,24
721,22
722,26
723,18
724,22
725,23
726,25
727,17
728,17
729,19
730,17
731,15
732,21
733,18
734,11
735,18
736,17
737,17
738,26
739,29
740,25
741,14
742,20
743,17
744,19
745,24
746,16
747,30
748,15
749,18
750,17
751,14
752,18
753,21
754,17
755,17
756,17
757,14
758,17
759,19
760,21
761,16
762,20
763,12
764,18
765,31
766,22
767,17
768,21
769,25
770,19
771,16
772,24
773,20
774,18
775,19
776,21
777,13
778,14
779,22
780,19
781,13
782,19
783,14
784,24
785,22
786,21
787,16
788,20
789,16
790,18
791,16
792,22
793,14
794,13
795,18
796,12
797,15
798,15
799,19
800,16
801,14
802,9
803,20
804,13
805,17
806,21
807,19
808,13
809,15
810,11
811,23
812,20
813,12
814,10
815,23
816,20
817,15
818,13
819,17
820,23
821,16
822,20
823,19
824,15
825,18
826,22
827,13
828,16
829,16
830,22
831,11
832,13
833,10
834,13
835,11
836,16
837,15
838,21
839,15
840,12
841,15
842,17
843,13
844,9
845,17
846,22
847,11
848,14
849,12
850,11
851,13
852,6
853,10
854,17
855,12
856,15
857,14
858,14
859,9
860,12
861,13
862,14
863,17
864,15
865,8
866,11
867,11
868,8
869,16
870,17
871,14
872,15
873,13
874,10
875,17
876,14
877,17
878,11
879,7
880,12
881,17
882,8
883,13
884,11
885,9
886,18
887,14
888,15
889,8
890,17
891,10
892,15
893,16
894,9
895,17
896,13
897,4
898,11
899,9
900,9
901,16
902,17
903,11
904,6
905,20
906,14
907,11
908,17
909,16
910,11
911,14
912,14
913,8
914,8
915,13
916,9
917,11
918,14
919,11
920,11
921,6
922,21
923,10
924,7
925,10
926,15
927,13
928,16
929,20
930,14
931,10
932,12
933,13
934,13
935,11
936,6
937,10
938,14
939,17
940,12
941,11
942,6
943,13
944,16
945,11
946,18
947,11
948,6
949,7
950,10
951,8
952,11
953,12
954,11
955,15
956,17
957,11
958,10
959,13
960,12
961,8
962,8
963,8
964,13
965,15
966,9
967,8
968,12
969,15
970,9
971,5
972,14
973,11
974,15
975,13
976,8
977,5
978,4
979,7
980,18
981,21
982,8
983,10
984,11
985,10
986,11
987,13
988,10
989,9
990,13
991,13
992,8
993,16
994,8
995,9
996,8
997,9
998,14
999,11
1000,9
1001,11
1002,7
1003,5
1004,8
1005,9
1006,10
1007,13
1008,10
1009,9
1010,5
1011,10
1012,13
1013,9
1014,10
1015,10
1016,13
1017,6
1018,6
1019,11
1020,8
1021,3
1022,7
1023,8
1024,9
1025,15
1026,9
1027,9
1028,10
1029,7
1030,12
1031,12
1032,3
1033,7
1034,9
1035,10
1036,11
1037,9
1038,15
1039,13
1040,8
1041,7
1042,3
1043,6
1044,14
1045,6
1046,6
1047,10
1048,6
1049,8
1050,6
1051,6
1052,8
1053,5
1054,4
1055,12
1056,11
1057,9
1058,7
1059,8
1060,9
1061,7
1062,6
1063,12
1064,11
1065,9
1066,9
1067,11
1068,13
1069,8
1070,5
1071,8
1072,8
1073,6
1074,5
1075,8
1076,3
1077,7
1078,8
1079,7
1080,11
1081,5
1082,5
1083,9
1084,7
1085,5
1086,5
1087,16
1088,5
1089,6
1090,5
1091,13
1092,6
1093,4
1094,10
1095,4
1096,9
1097,6
1098,3
1099,9
1100,8
1101,10
1102,5
1103,2
1104,7
1105,4
1106,9
1107,7
1108,10
1109,15
1110,11
1111,3
1112,3
1113,8
1114,7
1115,9
1116,5
1117,12
1118,11
1119,3
1120,9
1121,7
1122,5
1123,3
1124,6
1125,5
1126,6
1127,3
1128,4
1129,8
1130,3
1131,9
1132,8
1133,8
1134,5
1135,6
1136,7
1137,4
1138,9
1139,10
1140,6
1141,7
1142,7
1143,4
1144,6
1145,5
1146,6
1147,5
1148,7
1149,4
1150,3
1151,3
1152,5
1153,6
1154,7
1155,3
1156,6
1157,5
1158,5
1159,3
1160,7
1161,6
1162,7
1163,3
1164,8
1165,11
1166,15
1167,7
1168,9
1169,4
1170,5
1171,3
1172,8
1173,2
1174,8
1175,3
1176,14
1177,7
1178,6
1179,5
1180,4
1181,5
1182,5
1183,5
1184,5
1185,5
1186,7
1187,5
1188,7
1189,7
1190,7
1191,6
1192,6
1193,9
1194,8
1195,1
1196,3
1197,5
1198,7
1199,8
1200,11
1201,6
1202,6
1203,6
1204,7
1205,6
1206,7
1207,6
1208,7
1209,10
1210,4
1211,8
1212,8
1213,10
1214,10
1215,10
1216,8
1217,13
1218,5
1219,6
1220,8
1221,6
1222,7
1223,4
1224,8
1225,1
1226,5
1227,8
1228,9
1229,6
1230,5
1231,2
1232,7
1233,7
1234,4
1235,2
1236,4
1237,1
1238,9
1239,5
1240,1
1241,6
1242,6
1243,4
1244,2
1245,2
1246,7
1247,10
1248,6
1249,7
1250,3
1251,8
1252,3
1253,4
1254,3
1255,4
1256,2
1257,3
1258,4
1259,10
1260,4
1261,6
1262,4
1263,3
1264,2
1265,5
1266,9
1267,4
1268,3
1269,7
1270,3
1271,7
1272,5
1273,6
