Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
1,3511,2568.571348,2664.446527,2628.811318,3780.375298,3849.97226,,,42411.77511,1793.570221,6974.552257,1003.472408
2,2755,2503.726521,2590.256246,2559.21104,3235.304018,3259.020835,,,17888.03334,2429.676173,4711.174075,997.8020951
3,2606,2441.204613,2519.132058,2492.252583,2934.208773,2934.80735,,19079.75331,10795.58548,2662.854203,3740.929768,992.1638232
4,2797,2380.898371,2450.905791,2427.806049,2725.284512,2711.702339,,13035.34126,7544.64382,2734.515397,3173.85213,986.5574115
5,2262,2322.706577,2385.420715,2365.749348,2564.62012,2541.61801,,9700.388851,5713.999784,2730.718765,2792.228173,980.9826798
6,2438,2266.533653,2322.530626,2305.96765,2433.609876,2404.114542,,7619.618617,4553.258913,2689.001452,2513.51691,975.4394493
7,2455,2212.28929,2262.099,2248.352871,2322.678704,2288.645556,,6212.677728,3757.873208,2627.804575,2298.744155,969.9275419
8,2194,2159.888109,2203.998233,2192.80321,2226.265057,2189.072727,,5205.744924,3182.107796,2556.903393,2126.834342,964.4467805
9,2176,2109.249339,2148.108951,2139.222716,2140.857496,2101.514556,,4453.936932,2747.931808,2481.742929,1985.279473,958.9969892
10,2357,2060.29653,2094.319376,2087.520893,2064.098779,2023.362779,,3873.910855,2409.996243,2405.45005,1866.133025,953.577993
11,2234,2012.957275,2042.524751,2037.612336,1994.330155,1952.781113,,3414.564209,2140.242651,2329.845828,1764.076176,948.1896179
12,2182,1967.162966,1992.626818,1989.416388,1930.339929,1888.428168,,3042.94227,1920.430047,2255.987314,1675.398892,942.8316909
13,2112,1922.848551,1944.533335,1942.856836,1871.215612,1829.294261,,2736.906308,1738.214342,2184.47181,1597.425135,937.5040398
14,1865,1879.952324,1898.157641,1897.861616,1816.252449,1774.600272,,2481.071641,1584.959863,2115.614469,1528.170351,932.2064936
15,1873,1838.41572,1853.418251,1854.362552,1764.894384,1723.732277,,2264.43809,1454.453933,2049.555203,1466.127963,926.9388823
16,1750,1798.183123,1810.238488,1812.295104,1716.694599,1676.1978,,2078.946739,1342.119028,1986.324658,1410.131176,921.7010366
17,1793,1759.201699,1768.546149,1771.598141,1671.288332,1631.595633,,1918.568095,1244.512113,1925.885721,1359.260606,916.4927883
18,1742,1721.421223,1728.273187,1732.213729,1628.373666,1589.594484,,1778.707523,1158.996427,1868.160045,1312.780814,911.3139703
19,1728,1684.793936,1689.355433,1694.086935,1587.697639,1549.917524,,1655.806785,1083.520406,1813.045164,1270.095644,906.1644161
20,1627,1649.274396,1651.732328,1657.165641,1549.046001,1512.330982,,1547.070488,1016.465193,1760.425616,1230.716112,901.0439605
21,1528,1614.819348,1615.346683,1621.400373,1512.235533,1476.635582,,1450.274242,956.5372195,1710.180173,1194.236898,895.952439
22,1496,1581.387602,1580.144453,1586.744148,1477.108184,1442.660011,,1363.627537,902.6910996,1662.186524,1160.318833,890.8896881
23,1532,1548.939912,1546.074534,1553.15232,1443.526543,1410.255861,,1285.674043,854.0733432,1616.324265,1128.675664,885.8555453
24,1543,1517.438872,1513.08857,1520.582447,1411.370292,1379.293676,,1215.217995,809.9806395,1572.476767,1099.063915,880.8498489
25,1438,1486.848815,1481.140778,1488.994159,1380.533398,1349.659813,,1151.269078,769.8285075,1530.532282,1071.275017,875.8724381
26,1397,1457.135712,1450.187781,1458.349042,1350.921861,1321.253932,,1093.000623,733.12744,1490.384551,1045.129142,870.9231531
27,1280,1428.26709,1420.188463,1428.610524,1322.451897,1293.986966,,1039.717541,699.4645391,1451.933075,1020.470312,866.001835
28,1294,1400.211944,1391.103824,1399.743771,1295.048458,1267.779466,,990.8314514,668.4892297,1415.083153,997.1624867,861.1083257
29,1294,1372.940662,1362.896851,1371.715591,1268.644007,1242.560241,,945.8412057,639.9020362,1379.745791,975.0864112,856.2424682
30,1299,1346.424947,1335.532397,1344.494339,1243.177513,1218.265234,,904.3174901,613.4456854,1345.837504,954.1370457,851.4041061
31,1356,1320.637751,1308.977069,1318.049838,1218.593604,1194.836574,,865.8905561,588.8979945,1313.280074,934.2214639,846.5930841
