C1,C2
1,439256
2,277125
3,191518
4,138704
5,104036
6,80475
7,63948
8,51299
9,42207
10,35056
11,30161
12,25519
13,22238
14,19510
15,17027
16,15185
17,13513
18,12069
19,10781
20,10092
21,9028
22,8253
23,7604
24,7130
25,6443
26,6073
27,5587
28,5149
29,5026
30,4671
31,4263
32,4008
33,3720
34,3566
35,3328
36,3094
37,2938
38,2909
39,2631
40,2488
41,2435
42,2344
43,2292
44,2131
45,1964
46,1964
47,1901
48,1820
49,1647
50,1663
51,1510
52,1518
53,1479
54,1408
55,1290
56,1347
57,1239
58,1175
59,1186
60,1086
61,1040
62,1022
63,1005
64,958
65,939
66,920
67,917
68,919
69,829
70,807
71,772
72,759
73,731
74,686
75,668
76,667
77,646
78,632
79,619
80,628
81,623
82,586
83,553
84,537
85,560
86,541
87,532
88,512
89,487
90,453
91,465
92,460
93,442
94,413
95,454
96,445
97,434
98,382
99,392
100,413
101,370
102,351
103,361
104,365
105,334
106,362
107,345
108,350
109,334
110,341
111,338
112,303
113,300
114,313
115,318
116,311
117,294
118,292
119,277
120,283
121,279
122,272
123,260
124,263
125,222
126,268
127,213
128,244
129,229
130,236
131,234
132,211
133,223
134,205
135,202
136,217
137,178
138,202
139,224
140,205
141,164
142,185
143,182
144,193
145,197
146,204
147,156
148,179
149,152
150,155
151,174
152,153
153,185
154,163
155,164
156,143
157,171
158,167
159,141
160,151
161,133
162,152
163,145
164,124
165,127
166,124
167,151
168,125
169,144
170,155
171,109
172,147
173,144
174,138
175,122
176,147
177,121
178,120
179,120
180,119
181,90
182,119
183,113
184,115
185,117
186,98
187,88
188,98
189,94
190,89
191,101
192,121
193,85
194,87
195,91
196,96
197,96
198,110
199,90
200,92
201,93
202,108
203,108
204,85
205,79
206,76
207,100
208,83
209,79
210,94
211,77
212,89
213,91
214,72
215,71
216,76
217,86
218,76
219,84
220,76
221,66
222,69
223,69
224,56
225,83
226,80
227,82
228,63
229,70
230,69
231,53
232,67
233,61
234,85
235,66
236,66
237,58
238,51
239,62
240,64
241,56
242,57
243,50
244,68
245,57
246,63
247,58
248,62
249,68
250,44
251,63
252,48
253,49
254,51
255,56
256,56
257,59
258,61
259,46
260,48
261,51
262,56
263,46
264,49
265,48
266,47
267,47
268,38
269,56
270,46
271,47
272,46
273,35
274,52
275,42
276,45
277,47
278,36
279,40
280,47
281,47
282,48
283,40
284,52
285,35
286,41
287,48
288,36
289,45
290,39
291,50
292,42
293,45
294,41
295,39
296,32
297,46
298,41
299,35
300,50
301,45
302,38
303,39
304,38
305,43
306,32
307,47
308,41
309,37
310,47
311,37
312,33
313,31
314,29
315,30
316,31
317,37
318,29
319,37
320,35
321,28
322,24
323,35
324,37
325,39
326,23
327,42
328,27
329,34
330,36
331,33
332,38
333,29
334,42
335,35
336,38
337,27
338,32
339,34
340,37
341,34
342,20
343,34
344,24
345,21
346,40
347,33
348,22
349,21
350,24
351,36
352,29
353,33
354,20
355,19
356,23
357,21
358,16
359,19
360,26
361,35
362,26
363,23
364,24
365,22
366,24
367,20
368,24
369,33
370,18
371,33
372,31
373,28
374,16
375,21
376,27
377,21
378,17
379,24
380,29
381,19
382,19
383,17
384,28
385,15
386,18
387,19
388,12
389,20
390,15
391,15
392,22
393,20
394,18
395,15
396,18
397,23
398,16
399,15
400,25
401,24
402,17
403,24
404,18
405,20
406,15
407,23
408,20
409,18
410,13
411,19
412,24
413,23
414,18
415,24
416,17
417,24
418,18
419,21
420,24
421,20
422,17
423,13
424,16
425,20
426,17
427,31
428,11
429,15
430,10
431,15
432,22
433,13
434,19
435,16
436,9
437,19
438,19
439,23
440,22
441,17
442,13
443,23
444,13
445,14
446,15
447,11
448,17
449,17
450,16
451,17
452,15
453,16
454,25
455,13
456,18
457,13
458,20
459,11
460,21
461,18
462,7
463,17
464,15
465,13
466,4
467,11
468,9
469,15
470,18
471,26
472,10
473,10
474,16
475,17
476,15
477,12
478,14
479,14
480,10
481,11
482,13
483,8
484,12
485,12
486,16
487,22
488,6
489,16
490,19
491,13
492,11
493,12
494,18
495,21
496,14
497,12
498,13
499,18
500,8
501,6
502,7
503,20
504,11
505,12
506,13
507,12
508,15
509,12
510,18
511,16
512,15
513,17
514,15
515,22
516,6
517,12
518,9
519,16
520,9
521,16
522,13
523,14
524,9
525,11
526,10
527,7
528,13
529,9
530,6
531,12
532,14
533,9
534,10
535,11
536,10
537,9
538,7
539,11
540,5
541,13
542,13
543,15
544,19
545,10
546,12
547,13
548,10
549,10
550,13
551,14
552,11
553,10
554,14
555,8
556,6
557,10
558,16
559,17
560,11
561,8
562,10
563,10
564,11
565,5
566,7
567,10
568,14
569,6
570,13
571,16
572,10
573,11
574,4
575,12
576,7
577,18
578,3
579,12
580,9
581,11
582,17
583,6
584,9
585,13
586,3
587,21
588,5
589,9
590,10
591,9
592,12
593,7
594,9
595,6
596,8
597,4
598,10
599,7
600,13
601,5
602,7
603,8
604,10
605,10
606,10
607,8
608,9
609,11
610,6
611,10
612,6
613,13
614,5
615,6
616,8
617,11
618,6
619,7
620,6
621,9
622,5
623,6
624,4
625,8
626,4
627,9
628,4
629,7
630,6
631,7
632,6
633,11
634,12
635,6
636,7
637,4
638,10
639,8
640,9
641,8
642,7
643,5
644,3
645,8
646,3
647,5
648,6
649,8
650,4
651,8
652,10
653,4
654,5
655,7
656,9
657,7
658,6
659,7
660,3
661,12
662,5
663,7
664,8
665,16
666,7
667,3
668,8
669,4
670,6
671,4
672,5
673,7
674,6
675,8
676,4
677,4
678,6
679,5
680,9
681,8
682,3
683,6
684,6
685,11
686,6
687,9
688,7
689,8
690,7
691,11
692,6
693,3
694,5
695,6
696,1
697,6
698,3
699,5
700,1
701,8
702,8
703,2
704,4
705,7
706,8
707,6
708,6
709,11
710,8
711,8
712,10
713,5
714,2
715,10
716,8
717,5
718,4
719,3
720,3
721,5
722,6
723,9
724,3
725,5
726,4
727,5
728,10
729,5
730,6
731,9
732,4
733,7
734,7
735,9
736,5
737,5
738,6
739,4
740,4
741,6
742,3
743,4
744,9
745,5
746,2
747,3
748,2
749,6
750,4
751,5
752,4
753,4
754,6
755,4
756,7
757,5
758,5
759,5
760,5
761,6
762,7
763,4
764,4
765,6
766,2
767,10
768,3
769,2
770,5
771,5
772,1
773,7
774,7
775,4
776,1
777,9
778,1
779,5
780,5
781,4
782,2
783,8
784,8
785,3
786,3
787,5
788,7
789,4
790,4
791,10
792,3
793,7
794,1
795,7
796,4
797,1
798,1
799,8
800,4
801,4
802,2
803,8
804,6
805,2
806,2
807,4
808,8
809,5
810,4
811,3
812,7
813,5
814,4
815,1
816,3
817,6
818,2
819,1
820,4
821,8
822,3
823,4
824,6
825,3
826,6
827,2
828,2
829,3
830,1
831,2
832,6
833,6
834,5
835,2
836,5
837,6
838,5
839,6
840,7
841,6
842,6
843,5
844,5
845,4
846,1
847,3
848,1
849,4
850,3
851,4
852,3
853,6
854,3
855,1
856,3
857,3
858,3
859,3
860,5
861,8
862,4
863,5
864,2
865,3
866,7
867,2
869,3
870,6
871,4
872,3
873,4
874,2
875,2
876,2
877,2
878,1
879,12
880,2
881,4
882,3
883,7
885,3
886,2
887,6
888,7
889,2
890,1
891,4
892,1
893,4
894,4
895,4
896,4
897,3
898,3
899,2
900,2
901,5
903,4
904,6
905,5
906,4
907,1
908,6
909,9
910,6
911,2
912,1
913,3
914,2
916,1
917,5
918,2
919,1
920,6
921,1
922,3
923,6
924,2
925,3
926,1
927,2
928,4
929,2
930,11
931,3
932,5
933,3
934,2
936,2
937,1
938,1
939,3
940,2
941,3
942,8
943,2
945,1
946,2
948,3
949,3
950,9
951,2
952,5
954,4
955,2
956,3
957,2
958,6
959,2
960,3
961,2
962,3
963,2
964,2
965,3
966,2
967,1
968,3
969,2
970,5
971,4
972,6
973,1
974,9
975,1
976,3
977,3
978,3
979,3
980,3
981,3
982,2
983,6
985,3
986,2
987,3
988,4
989,1
990,6
991,5
992,1
993,4
994,2
995,2
996,4
997,1
998,3
999,1
1001,2
1002,2
1004,5
1005,2
1006,1
1007,3
1008,4
1010,2
1011,3
1012,2
1013,2
1014,2
1015,3
1016,7
1017,2
1018,4
1019,4
1020,2
1021,3
1022,3
1023,3
1024,2
1025,3
1026,2
1027,3
1028,4
1029,2
1030,1
1031,3
1032,2
1033,2
1035,3
1036,1
1037,1
1039,6
1040,5
1041,2
1042,4
1043,3
1044,3
1045,2
1046,3
1047,3
1048,3
1049,3
1050,1
1051,3
1052,2
1053,1
1054,4
1055,4
1057,4
1058,3
1059,2
1061,3
1062,5
1063,4
1064,3
1065,2
1066,2
1067,1
1069,5
1070,3
1071,2
1072,2
1073,2
1074,1
1075,2
1076,2
1078,4
1080,1
1081,3
1082,3
1083,3
1085,5
1086,1
1087,2
1088,3
1089,2
1090,5
1091,4
1092,1
1093,1
1094,2
1095,3
1097,2
1098,6
1099,6
1100,3
1101,3
1102,4
1103,5
1104,2
1105,3
1106,4
1107,1
1109,3
1110,2
1111,4
1112,1
1114,1
1116,5
1117,1
1118,2
1119,2
1120,5
1121,1
1122,1
1124,1
1125,5
1127,2
1128,3
1131,1
1132,1
1133,5
1134,3
1135,3
1136,1
1137,1
1138,4
1139,4
1140,1
1141,2
1142,1
1143,5
1145,1
1146,2
1147,3
1148,1
1149,6
1151,4
1153,1
1155,1
1156,2
1157,2
1158,1
1159,4
1160,1
1161,1
1162,4
1163,4
1164,1
1165,4
1166,2
1167,2
1168,1
1169,3
1170,3
1171,2
1172,5
1173,4
1174,1
1175,2
1176,2
1178,1
1179,1
1180,1
1181,1
1183,1
1185,1
1187,4
1188,2
1190,2
1191,3
1192,4
1193,2
1194,1
1195,5
1197,3
1198,2
1199,4
1200,1
1201,2
1202,1
1205,6
1207,2
1209,3
1210,1
1211,1
1212,4
1214,2
1215,2
1216,3
1217,2
1218,1
1219,1
1220,3
1222,1
1224,2
1226,1
1227,4
1229,3
1230,1
1231,2
1233,3
1235,4
1236,1
1237,1
1238,2
1240,5
1241,1
1242,1
1243,2
1244,3
1246,2
1247,1
1248,3
1250,2
1251,4
1252,3
1254,2
1255,1
1256,2
1257,6
1258,3
1260,1
1262,1
1264,1
1265,2
1266,1
1267,2
1268,2
1269,2
1270,2
1271,2
1272,1
1273,1
1274,2
1275,3
1277,1
1278,4
1279,2
1280,1
1281,1
1282,1
1284,4
1285,3
1286,2
1287,2
1288,3
1289,1
1290,4
1291,2
1292,2
1293,1
1294,1
1295,1
1296,4
1297,1
1298,2
1299,1
1300,5
1301,1
1303,1
1304,3
1305,1
1306,1
1310,3
1311,2
1312,1
1313,3
1314,3
1315,2
1316,1
1318,2
1319,1
1321,2
1322,2
1324,1
1325,1
1326,3
1327,2
1328,1
1330,2
1331,2
1332,1
1333,2
1334,2
1337,2
1340,2
1343,5
1344,1
1345,3
1346,1
1347,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1359,2
1362,1
1363,2
1364,2
1367,3
1368,1
1369,2
1371,2
1372,1
1373,2
1374,1
1375,1
1376,1
1377,2
1378,2
1380,1
1381,1
1382,2
1383,1
1385,1
1386,3
1387,1
1389,1
1392,2
1393,1
1394,1
1398,1
1399,1
1400,2
1401,1
1403,4
1404,1
1405,4
1406,2
1408,2
1409,2
1410,1
1411,3
1412,2
1413,1
1414,1
1416,1
1417,2
1418,2
1420,2
1421,1
1422,1
1424,2
1425,1
1426,2
1427,2
1430,1
1431,1
1432,1
1433,1
1434,1
1435,3
1436,2
1437,5
1440,2
1441,2
1442,1
1443,3
1444,2
1446,1
1447,4
1448,1
1449,1
1451,2
1452,2
1455,6
1456,1
1457,3
1460,1
1462,1
1464,2
1466,1
1468,1
1469,2
1470,1
1471,1
1472,1
1473,1
1474,1
1476,2
1479,1
1480,2
1482,2
1484,2
1485,2
1486,2
1490,1
1492,2
1499,1
1500,1
1501,1
1502,2
1503,4
1504,1
1505,2
1507,2
1508,1
1510,2
1511,1
1516,3
1517,2
1518,1
1519,2
1520,2
1522,1
1523,1
1524,1
1527,1
1528,2
1529,2
1530,1
1531,1
1532,1
1533,2
1534,2
1535,2
1536,2
1537,1
1538,3
1540,1
1542,1
1543,1
1544,1
1546,2
1547,5
1548,2
1550,2
1551,1
1552,1
1553,1
1554,2
1555,1
1557,3
1558,2
1559,3
1560,2
1562,1
1563,1
1564,1
1565,1
1566,1
1568,1
1569,1
1570,2
1571,1
1576,4
1578,2
1579,1
1581,2
1583,1
1584,1
1587,1
1588,1
1590,2
1591,1
1592,1
1594,1
1596,3
1597,1
1598,1
1601,1
1602,4
1607,1
1608,1
1609,1
1610,2
1611,3
1612,1
1613,1
1614,1
1615,1
1616,1
1617,1
1618,2
1619,2
1621,2
1623,1
1625,2
1627,1
1628,1
1629,4
1631,2
1632,1
1633,3
1635,1
1636,3
1641,2
1642,1
1643,1
1644,2
1645,2
1646,1
1648,1
1651,2
1652,1
1656,2
1657,3
1660,2
1661,3
1666,3
1667,1
1668,1
1669,2
1676,1
1679,1
1680,1
1681,2
1686,1
1688,1
1694,1
1695,1
1696,1
1697,1
1698,1
1699,2
1700,3
1701,1
1702,1
1703,1
1704,1
1705,1
1706,1
1708,1
1709,2
1711,1
1713,1
1714,1
1715,1
1716,1
1718,2
1719,1
1720,2
1721,1
1722,1
1724,1
1727,2
1728,1
1729,2
1730,1
1733,1
1734,2
1735,3
1736,2
1737,1
1738,1
1739,1
1740,1
1741,1
1742,2
1744,1
1746,2
1747,1
1748,1
1750,1
1751,1
1754,1
1757,1
1758,1
1760,1
1761,2
1764,3
1765,1
1766,2
1767,1
1768,2
1769,1
1770,1
1771,1
1773,1
1775,1
1780,1
1781,1
1784,1
1787,1
1789,1
1793,1
1794,1
1795,1
1796,1
1797,2
1798,1
1799,3
1811,1
1812,1
1815,1
1819,1
1820,2
1821,1
1825,3
1828,1
1829,1
1830,2
1833,1
1836,2
1837,2
1838,1
1840,1
1841,1
1850,2
1852,1
1853,1
1854,1
1855,1
1856,1
1857,1
1858,2
1862,1
1863,2
1864,1
1868,1
1872,1
1874,1
1875,1
1878,2
1879,1
1880,1
1884,1
1892,1
1893,3
1894,1
1896,1
1897,1
1901,1
1902,4
1903,1
1904,2
1905,2
1906,1
1908,2
1909,2
1910,1
1911,1
1912,1
1913,1
1915,1
1916,1
1917,2
1918,1
1923,2
1925,1
1930,2
1933,1
1935,1
1937,2
1938,1
1941,1
1942,1
1952,1
1954,1
1955,2
1956,3
1965,1
1967,3
1969,1
1971,1
1972,1
1973,1
1974,1
1975,1
1977,1
1979,1
1983,1
1986,1
1988,1
1992,1
1993,1
1995,1
1996,2
1997,2
1998,1
1999,1
2000,1
2002,1
2003,1
2007,1
2010,1
2015,2
2016,1
2017,1
2018,1
2021,1
2022,1
2026,1
2027,2
2028,2
2031,3
2033,1
2034,1
2035,1
2036,1
2038,1
2040,1
2041,2
2043,1
2046,1
2055,2
2056,1
2057,1
2060,1
2063,1
2070,1
2071,2
2079,2
2083,1
2086,1
2087,1
2089,1
2090,1
2091,1
2093,1
2095,1
2096,1
2097,1
2099,2
2101,1
2103,1
2104,1
2108,1
2109,1
2111,1
2115,1
2119,2
2123,3
2127,1
2135,1
2137,1
2139,1
2141,1
2142,1
2143,2
2147,1
2151,1
2152,1
2154,1
2159,1
2162,1
2163,1
2167,1
2173,1
2174,1
2176,1
2184,1
2185,2
2188,1
2189,3
2192,1
2197,1
2198,2
2201,1
2202,1
2203,1
2204,2
2205,1
2206,1
2207,1
2210,2
2216,1
2221,2
2222,1
2223,1
2224,1
2226,1
2227,1
2228,2
2239,1
2246,2
2247,1
2249,1
2253,1
2260,1
2262,1
2264,1
2270,1
2271,2
2273,2
2274,2
2278,1
2284,1
2298,3
2302,3
2305,1
2309,2
2312,2
2313,1
2314,1
2318,1
2319,1
2320,1
2325,2
2327,1
2328,1
2334,1
2336,1
2337,1
2338,2
2342,2
2343,1
2349,1
2352,1
2354,1
2362,1
2366,2
2367,1
2370,1
2371,1
2373,1
2374,1
2385,1
2400,1
2401,1
2403,1
2405,1
2406,1
2407,2
2413,1
2418,1
2420,1
2421,1
2423,2
2426,2
2429,1
2430,1
2437,1
2441,1
2448,1
2450,1
2452,1
2453,1
2455,1
2458,1
2459,1
2463,1
2464,1
2465,1
2466,1
2473,1
2474,1
2480,1
2482,1
2488,1
2489,1
2493,1
2499,1
2501,2
2503,1
2505,3
2507,1
2509,1
2513,1
2516,2
2527,1
2529,1
2532,1
2533,1
2534,1
2536,1
2538,1
2542,1
2543,2
2548,1
2552,1
2555,3
2557,2
2558,1
2560,2
2566,1
2577,2
2578,1
2593,1
2597,3
2606,2
2614,1
2615,1
2618,1
2637,1
2642,1
2643,1
2646,1
2650,1
2653,1
2662,1
2666,1
2670,1
2672,1
2680,1
2683,1
2684,1
2685,1
2687,1
2690,1
2693,1
2707,1
2708,1
2712,1
2715,1
2722,1
2724,1
2729,1
2730,1
2732,1
2733,1
2736,1
2739,1
2742,1
2745,1
2747,1
2752,1
2753,1
2759,2
2776,1
2779,1
2781,2
2783,1
2788,2
2789,1
2790,1
2793,1
2798,1
2800,1
2801,1
2807,1
2808,1
2814,1
