Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
1,691,615.2566308,651.5872501,650.6416141,693.2068213,685.1703469,,1300.297008,1281.53574,476.7860052,701.4124548,357.8598954
2,373,402.2978479,396.5717459,398.1440706,376.5340153,389.5537038,,366.3438441,361.058071,408.1572138,357.3246793,303.6185973
3,248,277.4230808,263.8688938,264.8768141,246.0218685,250.9088982,,174.6102099,172.0908556,304.9787013,234.1953999,257.5987246
4,172,199.38554,186.609501,186.9705637,174.8859462,175.446176,,103.2131977,101.7239914,226.7231051,170.174669,218.5541449
5,132,148.116236,137.9807998,137.9399966,130.8497176,129.6470988,,68.64759265,67.65711444,171.1311686,130.8458721,185.4276039
6,81,113.0459802,105.5594214,105.3102375,101.4439407,99.67279023,,49.19443415,48.48463482,131.5409548,104.2683797,157.3220965
7,75,88.24527209,82.96312875,82.62376933,80.7691271,78.94859088,,37.11641004,36.58087785,102.874975,85.16489156,133.4765781
8,73,70.21097212,66.64827475,66.28489743,65.66993081,64.0096659,,29.07914066,28.65957379,81.72001019,70.82907037,113.2453564
9,56,56.78222037,54.52403915,54.17151531,54.31221486,52.88191868,,23.44750871,23.10919755,65.81916625,59.72452411,96.08060786
10,54,46.57653332,45.29493931,44.97023909,45.5629875,44.37037121,,19.34067588,19.06161995,53.66512765,50.91186611,81.51754294
11,36,38.68125324,38.12526859,37.83538884,38.68887155,37.71581414,,16.24888554,16.01443934,44.23342346,43.78326919,69.16182104
12,34,32.47726553,32.45736586,32.20389047,33.19710657,32.41643806,,13.85997046,13.65999259,36.81432111,37.92747907,58.67887228
13,33,27.53445308,27.9082217,27.68991328,28.74630031,28.12945241,,11.97380249,11.80103911,30.90687018,33.05601109,49.78483793
14,32,23.5476405,24.20815105,24.02241123,25.09376646,24.61406781,,10.45712499,10.3062449,26.15124195,28.96038378,42.23888414
15,31,20.29620312,21.1630945,21.00677705,22.06315148,21.69704553,,9.218332806,9.085326572,22.28476783,25.48612531,35.83668056
16,33,17.61794019,18.63071518,18.50056899,19.52383864,19.25112939,,8.192716054,8.074507877,19.11284643,22.51633074,30.40486745
17,25,15.39178501,16.50482571,16.3977264,17.37745592,17.18112203,,7.333476431,7.227665748,16.48934037,19.96090175,25.79636144
18,24,13.52612594,14.70499567,14.61805697,15.5488109,15.41465227,,6.606068016,6.510752708,14.30313896,17.74929625,21.88637279
19,19,11.95076968,13.1694663,13.1000839,13.97966369,13.89590682,,5.984524827,5.898177423,12.46879811,15.82551742,18.56902629
20,14,10.61131684,11.85022641,11.79608477,12.62436483,12.58128469,,5.44901473,5.370393905,10.91992221,14.14457226,15.7544944
21,10,9.465164717,10.70953047,10.6685902,11.44674579,11.4363275,,4.984172162,4.912258294,9.604419202,12.66991894,13.36656483
22,11,8.478626011,9.717397635,9.68787348,10.41786728,10.43351428,,4.577938082,4.511885541,8.481054693,11.37159416,11.3405769
23,13,7.624824861,8.849789235,8.830124547,9.514365429,9.550653032,,4.220737804,4.159839108,7.516919343,10.22481761,9.621670648
24,3,6.882141923,8.087263401,8.076104175,8.717221344,8.769691159,,3.904888518,3.848547037,6.685546739,9.208937074,8.163301291
25,8,6.233052384,7.413969705,7.410139863,8.010834736,8.075824485,,3.624165824,3.571874736,5.965500166,8.306620711,6.925978909
26,7,5.663248612,6.816889559,6.819368295,7.382318905,7.456822155,,3.373482217,3.324808105,5.339301192,7.503231329,5.876199117
27,7,5.160971319,6.285256359,6.293157828,6.820958791,6.902509605,,3.148645574,3.103215506,4.792610085,6.786336446,4.985535838
28,5,4.716495094,5.810108586,5.822663964,6.317790485,6.404368669,,2.946175637,2.903666895,4.313593557,6.1453209,4.229871572
29,3,4.321729333,5.383942315,5.400484099,5.865272183,5.955225449,,2.76316306,2.723294905,3.892433184,5.571077776,3.588744338
30,4,3.969906246,5.000438762,5.020387128,5.457024619,5.549004608,,2.597160076,2.559687088,3.520940343,5.055759772,3.044793608
31,5,3.655335117,4.654249012,4.677099998,5.087624762,5.180534415,,2.446094921,2.410801568,3.1922525,4.592577643,2.583290211
32,4,3.373207407,4.340822674,4.36613798,4.752440709,4.845390913,,2.30820426,2.274900455,2.900592071,4.17563566,2.191737494
33,6,3.119441159,4.056270575,4.083668768,4.447498664,4.539772495,,2.181979423,2.150496847,2.64107379,3.799796387,1.85953294
34,4,2.890555996,3.79725402,3.826402953,4.169375108,4.26039829,,2.066123301,2.036312349,2.409549909,3.46056888,1.577681071
35,4,2.683572129,3.560894925,3.591505214,3.91510888,4.004425348,,1.959515543,1.931242775,2.202485119,3.154015717,1.338549863
36,1,2.495928277,3.344702486,3.376521884,3.682129092,3.769380743,,1.861184281,1.83433028,2.016854953,2.876675283,1.135664088
37,2,2.325414637,3.146513001,3.179321547,3.468195724,3.553105614,,1.770283011,1.744740574,1.850062846,2.625496476,0.963529979
38,1,2.170117838,2.964440238,2.998046079,3.271350415,3.353708798,,1.68607158,1.661744184,1.699872104,2.397783595,0.817486465
39,1,2.028375545,2.796834308,2.831070078,3.089875527,3.169528241,,1.607900468,1.584700959,1.564349857,2.191149627,0.693578959
40,1,1.898738838,2.642247412,2.676967111,2.922259919,2.999098709,,1.535197721,1.5130472,1.441820677,2.003476476,0.588452278
41,2,1.7799409,2.499405196,2.534481485,2.767170225,2.841124676,,1.467458041,1.446284899,1.330828038,1.832880985,0.499259787
42,2,1.670870852,2.367182702,2.402504558,2.623426645,2.694457447,,1.404233632,1.38397272,1.230102172,1.677685797,0.42358632
43,1,1.570551794,2.244584079,2.280054757,2.489982466,2.558075792,,1.345126477,1.325718389,1.138533157,1.536394276,0.359382781
44,1,1.47812232,2.130725416,2.166260683,2.365906669,2.431069473,,1.289781815,1.271172265,1.055148296,1.407668868,0.304910657
45,3,1.392820885,2.024820157,2.060346753,2.25036911,2.3126252,,1.237882589,1.220021865,0.979093047,1.29031235,0.258694945
46,0,1.31397255,1.926166668,1.961620961,2.142627852,2.202014602,,1.189144713,1.1719872,0.909614894,1.183251562,0.21948421
47,0,1.240977698,1.834137598,1.869464417,2.042018291,2.098583899,,1.143313019,1.126816787,0.846049654,1.085523227,0.186216698
48,0,1.173302401,1.748170755,1.783322363,1.94794381,2.001744998,,1.100157781,1.084284211,0.787809819,0.996261585,0.157991586
49,1,1.110470172,1.667761247,1.702696453,1.859867707,1.910967808,,1.05947171,1.044185177,0.734374613,0.914687568,0.134044592
50,1,1.052054877,1.592454702,1.627138071,1.777306208,1.825773565,,1.021067365,1.006334948,0.685281467,0.840099299,0.113727276
51,0,0.997674631,1.521841397,1.556242565,1.699822408,1.745729043,,0.984774903,0.970566129,0.64011871,0.771863754,0.096489482
52,2,0.946986531,1.455551155,1.489644227,1.627020999,1.670441501,,0.950440119,0.936726744,0.598519273,0.709409403,0.081864444
53,0,0.89968208,1.393248912,1.427011932,1.558543661,1.599554275,,0.917922747,0.904678547,0.560155259,0.652219726,0.069456142
54,1,0.855483231,1.334630844,1.368045325,1.494065049,1.532742909,,0.887094961,0.874295557,0.524733245,0.599827474,0.058928582
55,2,0.814138933,1.279420978,1.312471494,1.433289258,1.469711765,,0.857840069,0.845462769,0.491990207,0.551809589,0.049996699
56,3,0.775422118,1.227368223,1.260042048,1.375946729,1.410191036,,0.830051366,0.818075014,0.461689983,0.507782695,0.042418633
57,1,0.739127072,1.178243758,1.210530543,1.32179152,1.353934114,,0.803631117,0.792035967,0.433620188,0.467399087,0.035989185
58,0,0.705067125,1.131838736,1.163730228,1.270598896,1.300715262,,0.778489661,0.767257264,0.407589525,0.430343169,0.030534256
59,0,0.673072624,1.08796225,1.119452044,1.222163205,1.250327552,,0.754544625,0.743657717,0.383425433,0.396328274,0.025906139
60,0,0.642989151,1.04643954,1.077522856,1.176295987,1.202581038,,0.731720215,0.721162628,0.360972026,0.365093823,0.021979511
61,0,0.614675948,1.007110404,1.037783892,1.132824306,1.157301128,,0.709946595,0.699703168,0.340088277,0.336402788,0.018648047
62,1,0.588004527,0.969827782,1.00008935,1.091589257,1.114327135,,0.689159331,0.679215832,0.320646434,0.310039427,0.015821538
63,1,0.562857441,0.934456501,0.964305161,1.052444639,1.073510986,,0.669298893,0.659641949,0.302530612,0.285807241,0.013423447
64,2,0.539127189,0.900872156,0.930307888,1.015255778,1.034716065,,0.650310211,0.640927244,0.285635556,0.263527158,0.011388837
65,0,0.51671525,0.868960108,0.897983738,0.979898458,0.997816178,,0.632142281,0.623021449,0.269865544,0.243035885,0.009662616
66,1,0.495531218,0.838614591,0.867227686,0.946257983,0.962694624,,0.614747804,0.605877947,0.255133419,0.224184441,0.008198041
