Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
1,54610,60610.97275,53330.94504,53298.16757,52712.98063,52767.92224,,,180611.1782,43330.5401,66481.42061,45270.95652
2,48730,49871.53497,49091.10206,49021.0888,50046.99351,49836.87646,,129155.0896,58766.18321,52948.15079,47366.70106,40189.38318
3,42024,41305.95279,42990.43639,42957.94583,43551.27119,43450.54947,,58826.04003,30471.21297,47460.86178,37422.09828,35678.20618
4,34732,34422.65223,36756.34092,36760.54457,36888.74697,36886.20125,,33669.89577,19120.98866,39678.58608,30843.15659,31673.39968
5,29473,28852.194,31072.90479,31098.81967,30958.0799,31007.00893,,21841.2603,13320.87296,32586.34173,26017.068,28118.12461
6,25551,24314.35629,26149.50821,26184.27173,25928.62678,25995.91482,,15335.56783,9914.54074,26719.20063,22270.32977,24961.92197
7,22410,20594.74421,21990.64365,22026.11703,21746.11193,21813.52615,,11372.3876,7723.786224,22002.39266,19257.05929,22159.99671
8,19360,17527.98941,18521.18339,18553.06591,18294.28773,18353.3716,,8777.523866,6221.472745,18235.18926,16775.29494,19672.58188
9,17001,14985.5609,15642.96288,15669.44753,15450.82178,15498.63597,,6984.863933,5140.84914,15220.47218,14696.27636,17464.37434
10,14741,12866.83714,13259.05205,13279.76869,13105.86285,13142.28997,,5693.875171,4334.265847,12794.63332,12932.5013,15504.03364
11,12470,11092.50824,11283.0261,11298.34707,11166.69095,11192.89547,,4732.861474,3714.210134,10829.12417,11421.56812,13763.73721
12,10551,9599.658728,9641.455931,9652.079819,9557.240501,9574.843084,,3997.883258,3225.933873,9224.86456,10117.27744,12218.78554
13,9054,8338.073605,8273.502814,8280.221892,8215.94766,8226.610176,,3422.99649,2833.653805,7905.85002,8984.39397,10847.25157
14,7578,7267.442192,7129.429935,7133.009849,7093.280102,7098.516476,,2964.707828,2513.119292,6813.670499,7995.392932,9629.66951
15,6510,6355.226463,6168.851126,6169.975796,6149.45408,6150.560402,,2593.379246,2247.386685,5903.212928,7128.347425,8548.758579
16,5348,5575.024803,5359.065252,5358.317864,5352.492293,5350.536825,,2288.243651,2024.305532,5139.407555,6365.504678,7589.177714
17,4661,4905.307912,4673.603125,4671.465949,4676.635355,4672.476159,,2034.395369,1834.964562,4494.797163,5692.29559,6737.30786
18,3901,4328.436192,4091.013553,4087.876703,4101.068429,4095.381609,,1820.908811,1672.698697,3947.727014,5096.626641,5981.058676
19,3525,3829.89142,3593.872913,3590.046571,3608.911,3602.220989,,1639.626353,1532.436038,3480.994527,4568.361495,5309.696933
20,3066,3397.672626,3167.987738,3163.714949,3186.419296,3179.12716,,1484.356398,1410.257457,3080.837394,4098.933508,4713.694188
21,2593,3021.818507,2801.757339,2797.225985,2822.357552,2814.765717,,1350.330227,1303.09285,2736.170782,3681.050752,4184.591546
22,2206,2694.027956,2485.666125,2481.019462,2507.502128,2499.835151,,1233.826348,1208.507443,2438.00849,3308.467783,3714.879606
23,1950,2407.35706,2211.87967,2207.225279,2234.249705,2226.671285,,1131.905776,1124.548726,2179.02064,2975.806506,3297.891882
24,1718,2155.976017,1973.923161,1969.340383,1996.306877,1988.933568,,1042.222285,1049.635039,1953.193329,2678.413762,2927.710186
25,1498,1934.973249,1766.425031,1761.971039,1788.443461,1781.355586,,962.8843134,982.4732794,1755.564924,2412.246794,2599.080638
26,1431,1740.196855,1584.912093,1580.626791,1606.295742,1599.546003,,892.3530262,921.9973,1582.020356,2173.780201,2307.339091
27,1241,1568.125766,1425.645375,1421.555315,1446.208955,1439.829188,,829.366113,867.3212289,1429.129618,1959.929632,2048.344944
28,1061,1415.7646,1285.488149,1281.609653,1305.110706,1299.117141,,772.8801388,817.7037006,1294.020156,1767.988704,1818.422366
29,905,1280.557546,1161.799504,1158.141125,1180.40885,1174.806187,,722.0264616,772.5201607,1174.275441,1595.576443,1614.308132
30,875,1160.317561,1052.348215,1048.912671,1069.908777,1064.693339,,676.0771812,731.2412168,1067.853884,1440.593216,1433.105308
31,806,1053.16795,955.2427875,952.0284792,971.7461685,966.9083144,,634.4185923,693.4155638,973.0236489,1301.183534,1272.242135
32,722,957.4940017,868.8744458,865.8766395,884.3321147,879.8580895,,596.5303069,658.6564075,888.3099737,1175.704502,1129.435528
33,652,871.9028147,791.8705033,789.0822448,806.3081545,802.1814912,,561.9687029,626.6305837,812.4523843,1062.698909,1002.658673
34,621,795.1898147,723.0560876,720.4689096,736.5093119,732.7118885,,530.353703,597.049777,744.3697734,960.8721732,890.1122647
35,576,726.3107704,661.422618,659.0270812,673.9335952,670.4464255,,501.3581393,569.6633848,683.1317691,869.0725165,790.1989627
36,510,664.3583292,606.1017534,603.8878592,617.716743,614.5205599,,474.6991395,544.2526818,627.9351547,786.2738376,701.5007269
37,467,608.5422882,556.3437917,554.3012923,567.111243,564.1869234,,450.1311087,520.6260202,578.0843681,711.5608764,622.7586887
38,389,558.1729582,511.4996986,509.6183284,521.4688431,518.797711,,427.4399762,498.6148581,532.9753082,644.1163161,552.8552851
39,395,512.6470986,471.0061112,469.2757564,480.2259275,477.7899639,,406.4384533,478.0704574,492.0818373,583.2095395,490.7983972
40,378,471.4359946,434.3727831,432.7836033,442.8912498,440.6732316,,386.9621041,458.8611232,454.9444863,528.1868009,435.7072695
41,328,434.0753237,401.1720424,399.7145553,409.0356122,407.0191985,,368.8660732,440.8698859,421.160972,478.4626132,386.8000095
42,340,400.1565235,371.0299136,369.695051,378.2831573,376.4529346,,352.0223488,423.9925455,390.3782066,433.512185,343.3824905
43,269,369.3194185,343.6186193,342.3977619,350.3039985,348.6454975,,336.3174613,408.1360153,362.2855439,392.8647631,304.8385003
44,254,341.24591,318.6502298,317.5352249,324.8079668,323.3076574,,321.6505419,393.2169124,336.6090516,356.0977638,270.620995
45,243,315.6545619,295.8712695,294.8544367,301.5392913,300.1845612,,307.931677,379.1603544,313.10664,322.831587,240.2443355
46,260,292.2959456,275.0581248,274.1322529,280.2720598,279.0511839,,295.0805084,365.8989279,291.563906,292.7250294,213.2773946
47,252,270.9486291,256.0131239,255.1714601,260.8063389,259.7084402,,283.0250379,353.3718017,271.7905783,265.4712184,189.3374383
48,192,251.4157142,238.5611814,237.7974172,242.964846,241.9798527,,271.700603,341.5239611,253.617468,240.7940048,168.0846937
49,223,233.5218404,222.5469199,221.8551728,226.5900905,225.7086909,,261.0489966,330.3055449,236.8938456,218.444757,149.2175267
50,182,217.1105877,207.8321955,207.206989,211.5419115,210.7555069,,251.0177073,319.6712702,221.4851807,198.1995083,132.468161
51,156,202.0422214,194.2939638,193.7302062,197.6953514,196.9960107,,241.5592624,309.5799305,207.2711866,179.8564172,117.5988778
52,169,188.1917288,181.8224375,181.3154002,184.9388177,184.3192315,,232.6306573,299.9939583,194.144128,163.2335014,104.3986415
