C1,C2
1,3207
2,2873
3,2508
4,2247
5,1891
6,1544
7,1290
8,1027
9,848
10,668
11,559
12,507
13,454
14,353
15,326
16,254
17,207
18,247
19,198
20,143
21,147
22,169
23,107
24,106
25,108
26,72
27,86
28,74
29,70
30,68
31,48
32,53
33,40
34,36
35,47
36,31
37,41
38,31
39,21
40,27
41,18
42,21
43,17
44,21
45,22
46,14
47,9
48,17
49,17
50,14
51,12
52,10
53,10
54,7
55,9
56,9
57,7
58,7
59,8
60,9
61,1
62,3
63,8
64,8
65,3
66,3
67,6
68,2
69,1
70,1
71,3
72,4
73,5
74,6
75,5
76,8
77,2
78,1
79,2
80,3
81,2
82,1
83,4
84,3
85,1
86,2
87,1
88,2
89,2
90,3
91,2
92,3
93,2
94,4
96,2
97,2
98,2
99,1
101,2
102,2
103,1
104,1
106,1
110,1
111,1
119,1
120,1
122,1
124,2
125,1
128,1
130,1
132,1
139,1
142,1
148,1
158,1
166,1
182,1
190,1
201,1
253,1
280,1
