Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
1,3207,3628.955151,3161.842073,3163.609741,3141.505647,3148.372617,,,10629.5563,2619.083941,3917.922291,2712.172936
2,2873,2953.343973,2970.993646,2966.538394,3013.203864,2999.622087,,7582.700987,3425.203361,3141.746338,2792.225786,2394.190744
3,2508,2421.961048,2582.501771,2580.148743,2597.050978,2590.460518,,3406.151765,1765.976709,2781.028021,2201.18823,2113.48961
4,2247,2000.337433,2173.873712,2173.839964,2169.031461,2168.770294,,1930.484396,1103.716631,2302.622627,1808.428525,1865.698605
5,1891,1663.065267,1806.449313,1807.689809,1794.083532,1797.037485,,1242.768566,766.5210502,1876.073877,1519.757423,1646.95926
6,1544,1391.212712,1495.538289,1497.21789,1482.280779,1486.324187,,867.1742222,569.0575587,1527.89166,1295.579588,1453.865484
7,1290,1170.530874,1239.310823,1240.95621,1227.990417,1232.00293,,639.6909467,442.36138,1250.723984,1115.434684,1283.410522
8,1027,990.1943444,1030.472855,1031.868442,1021.917044,1025.405064,,491.483181,355.6549123,1031.108506,967.3070729,1132.940143
9,848,841.9061274,860.8268586,861.9052112,854.9592048,857.7659826,,389.5349444,293.3964172,856.5364314,843.4958391,1000.111302
10,668,719.2545037,722.9075462,723.6759199,719.3126544,721.4452191,,316.3971952,246.999066,716.883471,738.7430146,882.8556579
11,559,617.2461509,610.4357544,610.9336402,608.6236862,610.1588952,,262.1403388,211.381571,604.3183747,649.2835871,779.3473701
12,507,531.9639223,518.3180248,518.5947028,517.8354378,518.8720686,,220.7744057,183.3696354,512.8728465,572.3205111,687.9746625
13,454,460.3137083,442.493332,442.5969917,442.9611999,443.5971556,,188.5111549,160.8912415,438.0089258,505.7145808,607.3147282
14,353,399.835582,379.748248,379.7213798,380.8667051,381.1893621,,162.8593021,142.5438318,376.2645535,447.7911006,536.1115739
15,326,348.5617561,327.5457092,327.4237127,329.0857471,329.1689037,,142.1257236,127.3485255,324.9824808,397.2138969,473.2564621
16,254,304.9089285,283.8809205,283.6922474,285.6721209,285.5760707,,125.126998,114.6040688,282.1083373,352.9000959,417.7706467
17,207,267.5960954,247.1653866,246.9323306,249.0836891,248.8566211,,111.0156767,103.7966398,246.0415621,313.9606195,368.7901322
18,247,235.5813747,216.1356578,215.8753409,218.0926813,217.7725056,,99.1719353,94.5422712,215.5254352,279.6574912,325.5522203
19,198,208.0131228,189.7823261,189.5076673,191.7166308,191.3328033,,89.1339187,86.54901932,189.5656725,249.3724682,287.3836334
20,143,184.1918755,167.29505,167.0156272,169.165245,168.7404082,,80.55175184,79.59147185,167.3698199,222.5835166,253.6900307
21,147,163.5405394,148.0200428,147.7428191,149.7994718,149.3508529,,73.15645179,73.49317994,148.3018283,198.8468449,223.9467533
22,169,145.5809141,131.4271613,131.1570786,133.099869,132.6404327,,66.7384662,68.11430761,131.8477568,177.7829616,197.6906549
23,107,129.9150989,117.084363,116.8248172,118.6420654,118.1814471,,61.13257534,63.34279184,117.5896855,159.0657029,174.5128897
24,106,116.2106931,104.637813,104.3910283,106.0776421,105.6228921,,56.20708847,59.08791239,105.1857247,142.4134876,154.0525457
25,108,104.1889568,93.79632791,93.56364944,95.11916477,94.67533714,,51.85599292,55.27554527,94.35458586,127.5822692,135.9910256
26,72,93.61529561,84.31915852,84.10127905,85.52840949,85.09902469,,47.99316806,51.84461193,84.8635884,114.3597998,120.047085
27,86,84.29157801,76.00634967,75.80348398,77.10705466,76.69446173,,44.54806579,48.74439013,76.51927429,102.5609188,105.9724533
28,74,76.04990555,68.69109887,68.50311722,69.68928681,69.29494547,,41.46244747,45.93245457,69.16001623,92.02365294,93.54796792
29,70,68.74754012,62.2336703,62.06020012,63.13589813,62.7605981,,38.68789196,43.37308314,62.65015907,82.60596522,82.58016146
30,68,62.26275671,56.51652527,56.35702802,57.32955233,56.97358329,,36.18387329,41.03601178,56.8753492,74.183026,72.89824909
31,48,56.49143969,51.44040786,51.29423693,52.17097013,51.83425316,,33.91626362,38.89545301,51.73878981,66.64491027,64.35146924
32,53,51.34427899,46.92118439,46.78762824,47.5758417,47.25803059,,31.85615753,36.92931581,47.15822216,59.89464378,56.80673603
33,40,46.74445213,42.88728017,42.76559432,43.47231672,43.1728758,,29.97894086,35.11858073,43.06347965,53.8465374,50.14656692
34,36,42.62570137,39.27759184,39.16702216,39.7989551,39.51721887,,28.26354776,33.44679586,39.39449611,48.42476112,44.26725332
35,47,38.93073323,36.0397799,35.93957944,36.50304722,36.2382657,,26.69186372,31.89966731,36.09967639,43.56211839,39.07724569
