Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognornal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
1,3787,3475.470048,3512.309832,3480.22599,3859.628301,3854.850475,,,9613.299319,2749.377832,4849.134489,1523.165457
2,2700,2687.792745,2691.075467,2689.635898,2613.38839,2617.445305,,6065.888102,3268.201629,2549.69581,2553.663225,1423.077752
3,1992,2128.949594,2120.129731,2129.31892,1987.67864,1989.924524,,2973.861928,1738.668131,2127.60711,1740.499715,1329.566843
4,1643,1720.095464,1708.023233,1719.726913,1590.050731,1590.871813,,1793.390401,1111.079717,1760.01685,1318.390011,1242.200566
5,1327,1413.202848,1401.442991,1412.483751,1310.160763,1310.222387,,1211.446385,785.0574245,1466.936694,1058.138112,1160.575157
6,1134,1177.779359,1167.625042,1176.916803,1101.443246,1101.141788,,879.227468,591.0892638,1235.699259,880.9172751,1084.31338
7,903,993.7766687,985.5457247,992.8815006,939.8622791,939.4077937,,670.5124243,464.9947747,1051.971132,752.1360692,1013.062789
8,823,847.6128447,841.2208264,846.7433018,811.4072503,810.907239,,530.2190013,377.7301029,904.3151217,654.1629797,946.4940988
9,692,729.8451598,725.061304,729.030279,707.2217292,706.729671,,431.0500045,314.4567509,784.2100522,577.0417524,884.2996589
10,591,633.7582032,630.31835,633.0107109,621.3751594,620.9163183,,358.1662375,266.8933806,685.3855635,514.7131982,826.1920362
11,527,554.4797661,552.133701,553.8033225,549.7218902,549.3068335,,302.9110325,230.0957799,603.2055911,463.2725164,771.9026846
12,484,488.4116,486.9402952,487.804929,489.2660747,488.8977768,,259.945135,200.9506654,534.2058647,420.08673,721.1807042
13,447,432.8537539,432.0730688,432.3130182,437.7847005,437.4623003,,225.8233743,177.4111967,475.7654139,383.3140052,673.7916819
14,409,385.7511425,385.5097785,385.2713113,393.5921818,393.3129807,,198.2381682,158.0827383,425.8761415,351.62613,629.5166079
15,322,345.5191571,345.6945181,345.0947878,355.3871941,355.1477172,,175.5945576,141.9860424,382.9807255,324.040425,588.1508637
16,293,310.9215022,311.415129,310.5471786,322.1495958,321.9461508,,156.7601729,128.4156559,345.8575593,299.8137706,549.5032761
17,274,280.9832184,281.7165091,280.6537848,293.0690698,292.8980335,,140.91223,116.8519781,313.5381442,278.3734825,513.3952343
18,278,254.9278303,255.8383097,254.6385074,267.4945271,267.3524843,,127.4406859,106.9048233,285.2470541,259.270879,479.6598639
19,249,232.1313111,233.169497,231.8777408,244.8974866,244.7812897,,115.8851123,98.2761559,260.3577717,242.1492867,448.1412558
20,223,212.0879387,213.2147676,211.8661896,224.8450939,224.751879,,105.8924731,90.73486138,238.3598177,226.7214942,418.6937459
21,185,194.3846798,195.5694182,194.19123,206.9799283,206.9071102,,97.18823216,84.09928463,218.8340087,212.7535457,391.1812415
22,185,178.6817657,179.9003296,178.513475,191.0046809,190.9499367,,89.55617528,78.22490256,201.4336369,200.0528836,365.4765929
23,161,164.6978181,165.9314255,164.5518947,176.6703842,176.6316323,,82.82405876,72.99546637,185.8700117,188.4595341,341.4610053
24,161,152.1983519,153.4324461,152.0723182,163.7672691,163.7426473,,76.85323273,68.31653423,171.9012476,177.8394599,319.0234898
25,136,140.9868133,142.2102036,140.8784729,152.1175928,152.1054363,,71.53102503,64.11068035,159.3234942,168.0794826,298.0603509
26,128,130.8975375,132.1017128,130.8049437,141.5699602,141.5687816,,66.76507463,60.31389876,147.96402,159.0833559,278.4747068
27,126,121.7901723,122.9687536,121.7116001,131.9947909,132.0032615,,62.47906287,56.87287091,137.6757155,150.7686976,260.1760418
28,137,113.5452321,114.6935348,113.4791518,123.2806733,123.297606,,58.60946031,53.74286658,128.3326939,143.0645674,243.0797882
29,120,106.0605286,107.1752128,106.0055834,115.331411,115.3557452,,55.10302164,50.88611455,119.8267453,135.9095374,227.106935
30,127,99.24828851,100.3270792,99.20327387,108.0636143,108.0944025,,51.91483734,48.27052604,112.0644612,129.2501414,212.1836633
31,88,93.03281065,94.07427361,92.99665628,101.4047254,101.441121,,49.00680486,45.86868552,104.9648885,123.0396192,198.2410047
32,100,87.34855223,88.35191455,87.32030625,95.29138857,95.33263513,,46.34641863,43.65704655,98.45760415,117.2368926,185.2145228
33,88,82.13855651,83.10356265,82.11737149,89.66809876,89.7135204,,43.90580499,41.61528588,92.48112753,111.8057235,173.0440153
34,67,77.35315475,78.27995114,77.3382755,84.48607561,84.53506857,,41.66094668,39.72578118,86.98160342,106.7140183,161.6732359
35,87,72.94888943,73.83793192,72.93964222,79.70232032,79.75434534,,39.59105545,37.9731857,81.91170521,101.9332499,151.0496342
36,66,68.88761685,69.73959657,68.88340006,75.27882266,75.33339823,,37.67806116,36.34407982,77.2297169,97.43797278,141.1241128
37,82,65.13575615,65.9515401,65.13603195,71.18189125,71.23858762,,35.90619321,34.8266839,72.89876147,93.20541712,131.8508007
38,74,61.66365812,62.44424164,61.66794524,67.38158578,67.44001957,,34.26163564,33.41062024,68.88614965,89.21514434,123.1868411
39,67,58.4450726,59.19154148,58.45293996,63.85123382,63.91106322,,32.73224139,32.08671481,65.16282813,85.44875543,115.092193
40,52,55.45669751,56.17019776,55.46775862,60.56701818,60.6279387,,31.30729442,30.84683124,61.70291033,81.88964193,107.529447
41,72,52.67779543,53.35950933,52.69170345,57.50762331,57.56936393,,29.97731061,29.68373114,58.48327579,78.52277274,100.4636515
42,53,50.08986665,50.74099387,50.10631005,54.65393134,54.71625108,,28.73387041,28.59095612,55.48322722,75.33451077,93.86215181
43,69,47.67636933,48.29811205,47.69506809,51.98875995,52.05144481,,27.5694776,27.56272767,52.68419578,72.31245469,87.69443881
44,50,45.42247932,46.01603071,45.44318149,49.49663567,49.55949589,,26.47743948,26.59386185,50.069487,69.44530185,81.93200827
45,56,43.31488328,43.8814186,43.33736204,47.16359728,47.22646485,,25.45176497,25.6796963,47.62406127,66.72272912,76.54822894
46,52,41.34160009,41.88226994,41.3656511,44.97702481,45.0397513,,24.48707749,24.81602769,45.33434341,64.13528897,71.51821953
47,44,39.49182612,40.00775143,39.51726515,42.9254905,42.98794503,,23.57854032,23.99905773,43.18805725,61.67431853,66.8187337
48,29,37.75580095,38.24806931,37.7824618,40.99862847,41.06069595,,22.72179235,23.22534658,41.17408129,59.33185986,62.42805264
49,48,36.1246903,36.5943535,36.15242299,39.18702054,39.24860007,,21.91289264,22.49177242,39.28232274,57.1005897,58.32588468
50,34,34.59048407,35.03855639,34.61915316,37.48209602,37.54309943,,21.14827236,21.79549632,37.50360705,54.97375754,54.49327153
51,33,33.14590692,33.57336427,33.17539004,35.87604343,35.936394,,20.42469316,21.13393161,35.82958097,52.94513082,50.91250066
52,32,31.78433997,32.19211951,31.81452654,34.36173269,34.42136398,,19.73921081,20.50471702,34.25262726,51.00894634,47.56702342
53,31,30.49975193,30.88875214,30.530542,32.93264634,32.99150114,,19.08914348,19.90569323,32.7657894,49.15986697,44.4413786
54,33,29.28663847,29.65771959,29.31794166,31.58281859,31.64084797,,18.47204395,19.33488214,31.36270514,47.39294324,41.52112093
55,28,28.13996864,28.49395332,28.1717032,30.3067813,30.36394378,,17.88567527,18.79046874,30.03754755,45.70357885,38.79275436
56,36,27.05513753,27.39281174,27.08722952,29.09951594,29.15577669,,17.32798921,18.2707849,28.78497279,44.08749993,36.24366966
57,29,26.02792425,26.35003831,26.0603068,27.95641077,28.01174092,,16.79710738,17.77429523,27.60007363,42.54072742,33.86208615
58,27,25.0544547,25.36172442,25.08706732,26.87322266,26.9275987,,16.29130449,17.29958435,26.47833806,41.05955223,31.63699728
59,29,24.13116837,24.42427625,24.16395637,25.846043,25.89944622,,15.80899345,16.84534567,25.41561241,39.64051294,29.55811974
