C1,C2
1,10217
2,8049
3,6106
4,4929
5,4098
6,3480
7,3058
8,2625
9,2270
10,2146
11,1830
12,1792
13,1556
14,1460
15,1292
16,1251
17,1172
18,1117
19,1012
20,915
21,827
22,790
23,684
24,664
25,659
26,656
27,589
28,551
29,518
30,529
31,479
32,443
33,448
34,418
35,379
36,430
37,371
38,320
39,338
40,331
41,370
42,288
43,283
44,280
45,250
46,228
47,227
48,216
49,222
50,215
51,213
52,210
53,200
54,182
55,193
56,142
57,181
58,185
59,185
60,159
61,146
62,136
63,140
64,123
65,119
66,118
67,109
68,126
69,101
70,97
71,121
72,111
73,81
74,84
75,104
76,78
77,79
78,82
79,80
80,73
81,62
82,83
83,84
84,72
85,59
86,74
87,74
88,61
89,63
90,64
91,63
92,46
93,55
94,50
95,51
96,43
97,38
98,52
99,50
100,38
101,46
102,45
103,43
104,51
105,40
106,40
107,34
108,28
109,39
110,38
111,36
112,28
113,25
114,32
115,23
116,36
117,35
118,33
119,21
120,28
121,33
122,31
123,29
124,23
125,28
126,18
127,21
128,29
129,28
130,22
131,34
132,20
133,19
134,25
135,34
136,22
137,21
138,24
139,14
140,20
141,21
142,20
143,19
144,24
145,22
146,18
147,13
148,16
149,11
150,15
151,16
152,17
153,19
154,16
155,8
156,15
157,17
158,13
159,17
160,11
161,10
162,12
163,16
164,19
165,10
166,10
167,11
168,17
169,9
170,8
171,17
172,7
173,4
174,7
175,11
176,12
177,8
178,11
179,8
180,9
181,6
182,15
183,10
184,10
185,11
186,9
187,5
188,7
189,11
190,9
191,10
192,8
193,6
194,7
195,4
196,10
197,5
198,4
199,10
200,11
201,6
202,10
203,7
204,7
205,9
206,7
207,7
208,9
209,5
210,7
211,3
212,5
213,4
214,10
215,8
216,15
217,3
218,3
219,6
220,11
221,5
222,7
223,4
224,6
225,1
226,8
227,5
228,7
229,6
230,3
231,10
232,5
233,5
234,8
235,8
236,2
237,3
238,4
239,2
240,10
241,3
242,10
243,7
244,4
245,3
246,7
247,1
248,7
249,7
250,3
251,5
252,1
253,6
254,9
255,4
256,3
257,5
258,1
259,2
260,5
261,3
262,7
263,3
264,3
265,5
266,1
267,4
268,6
269,5
270,3
271,3
272,3
273,2
274,2
275,2
276,5
277,4
278,2
279,4
280,2
282,1
283,3
284,2
285,8
286,2
287,2
288,2
289,4
290,2
291,4
292,4
293,6
294,4
295,3
296,4
297,5
298,5
299,5
300,1
301,2
302,1
303,2
304,3
305,3
306,4
307,4
308,2
309,3
311,3
312,3
313,3
314,2
315,2
316,2
318,1
319,2
320,2
321,1
322,8
323,3
324,3
325,3
326,1
327,1
328,3
329,2
330,3
331,2
332,1
333,3
335,3
336,1
337,2
338,3
339,2
340,1
341,2
342,3
344,3
345,1
346,2
347,1
348,2
349,1
351,1
353,2
354,1
355,2
357,3
358,1
359,2
360,3
361,1
362,1
363,4
364,3
365,2
367,1
368,1
369,2
371,1
372,1
373,3
374,2
375,1
376,1
377,1
378,2
379,1
381,2
382,1
384,2
385,2
386,3
387,1
388,3
389,2
390,1
392,1
393,1
394,4
395,1
397,1
398,1
399,2
400,1
403,3
404,1
405,1
406,1
407,2
408,1
409,2
410,1
413,2
416,1
421,3
424,1
427,1
430,1
431,1
434,1
435,1
436,1
440,1
442,1
443,1
445,1
448,1
449,1
450,1
453,2
454,1
455,2
457,2
458,1
465,1
466,1
469,1
472,2
473,2
477,1
478,2
479,1
480,2
481,3
482,1
484,2
485,2
487,2
489,1
490,1
493,1
495,1
496,2
497,1
498,1
501,2
502,2
503,1
504,1
505,1
511,1
515,1
518,2
521,1
526,1
529,1
531,1
534,1
536,1
538,2
543,2
547,1
548,1
549,1
554,1
556,1
559,1
565,1
568,1
570,1
571,1
572,1
575,1
576,1
582,2
587,1
591,1
597,1
599,1
605,2
610,1
614,1
627,1
628,1
630,1
641,2
652,1
663,1
665,1
666,1
669,1
672,2
679,1
683,1
697,1
709,1
710,1
712,1
714,1
728,1
730,1
731,1
732,1
735,1
736,2
737,1
738,1
743,2
747,1
749,1
750,3
754,1
761,1
778,1
784,1
786,1
793,1
813,1
818,1
831,1
839,1
844,1
852,2
859,1
865,1
884,1
889,1
894,1
900,1
911,1
913,1
915,2
920,1
928,1
957,1
977,1
989,1
992,1
1014,1
1016,1
1022,1
1036,1
1047,1
1053,1
1059,1
1070,1
1072,1
1088,1
1098,1
1108,1
1120,1
1123,1
1154,1
1167,1
1186,1
1198,1
1201,1
1214,1
1231,1
1255,1
1273,1
1315,1
1337,1
1370,1
1402,1
1410,1
1500,1
1503,1
1521,1
1591,1
1632,1
1707,1
1905,1
2074,1
2133,1
2462,1
2471,1
2647,1
2735,1
3216,1
3383,1
