Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
1,10217,9047.319831,9126.753407,9025.371339,10829.49034,10796.62943,,,30154.33193,7458.901721,13724.58933,3654.030463
2,8049,7455.99146,7471.330046,7445.611055,7415.436351,7434.174464,,18937.37647,10822.96935,7161.693611,7608.835378,3489.810075
3,6106,6233.399406,6219.485705,6229.848314,5778.784956,5792.017561,,9796.614163,5943.416911,6201.333553,5355.173807,3332.970123
4,4929,5276.148342,5250.522782,5276.611449,4753.155554,4759.228752,,6137.376825,3884.571738,5305.803389,4155.850519,3183.178912
5,4098,4514.265077,4485.691548,4517.038383,4029.871298,4031.218053,,4270.231828,2793.08458,4558.844851,3402.483774,3040.119657
6,3480,3899.12522,3871.832054,3903.164022,3484.696971,3483.340439,,3174.965276,2133.206573,3947.758245,2881.629896,2903.489809
7,3058,3396.150758,3372.003763,3400.810322,3055.87663,3053.137151,,2471.235501,1698.507839,3446.876902,2498.209231,2773.000415
8,2625,2980.247868,2959.888671,2985.130484,2708.439864,2705.122399,,1989.050296,1394.247465,3033.060908,2203.167157,2648.375508
9,2270,2632.874512,2616.325756,2637.73719,2420.742612,2417.319392,,1642.461395,1171.447096,2687.933316,1968.517974,2529.351527
10,2146,2340.107603,2327.096885,2344.80525,2178.495796,2175.23223,,1383.930973,1002.491744,2397.363768,1777.078014,2415.676753
11,1830,2091.340144,2081.472891,2095.789992,1971.793542,1968.82855,,1185.301582,870.7455932,2150.539796,1617.685916,2307.11078
12,1792,1878.385176,1871.235365,1882.544205,1793.501348,1790.897475,,1028.968206,765.648843,1939.146274,1482.762291,2203.424007
13,1556,1694.848232,1690.004161,1698.698678,1638.321212,1636.095695,,903.4303536,680.2082418,1756.732594,1366.971001,2104.397152
14,1460,1535.68055,1532.766041,1539.22052,1502.219428,1500.363405,,800.8978176,609.6271119,1598.244428,1266.441228,2009.820788
15,1292,1396.856173,1395.538493,1400.093531,1382.060522,1380.550891,,715.9300968,550.5167935,1459.681104,1178.293489,1919.494899
16,1251,1275.135368,1275.126165,1278.083744,1275.364285,1274.170968,,644.62737,500.4222152,1337.844611,1100.339189,1833.22846
17,1172,1167.889087,1168.941845,1170.565271,1180.139386,1179.229723,,584.1305692,457.5255266,1230.154566,1030.883655,1750.839029
18,1117,1072.967195,1074.873154,1075.389444,1094.766333,1094.107686,,532.3020597,420.4548801,1134.510588,968.5932025,1672.152366
19,1012,988.5985027,991.1820869,990.7854514,1017.913223,1017.474447,,487.5157261,388.1575373,1049.188969,912.4031426,1597.00206
20,915,913.3141419,916.42846,915.2841214,948.4738553,948.2260733,,448.5154474,359.8135566,972.7643044,861.4526798,1525.229178
