C1,C2
1,4677
2,3982
3,2986
4,2022
5,1349
6,971
7,747
8,563
9,432
10,354
11,298
12,238
13,225
14,183
15,171
16,158
17,136
18,122
19,96
20,97
21,72
22,89
23,78
24,56
25,76
26,77
27,58
28,67
29,53
30,39
31,44
32,38
33,37
34,38
35,34
36,39
37,26
38,33
39,34
40,25
41,25
42,25
43,27
44,21
45,29
46,27
47,20
48,17
49,19
50,20
51,13
52,19
53,28
54,13
55,22
56,15
57,16
58,19
59,15
60,13
61,16
62,7
63,9
64,7
65,12
66,12
67,6
68,8
69,14
70,6
71,7
72,12
73,11
74,8
75,14
76,7
77,8
78,9
79,6
80,14
81,4
82,5
83,2
84,9
85,7
86,1
87,4
88,4
89,3
90,6
91,10
92,8
93,7
94,11
95,4
96,7
97,7
98,5
99,3
100,3
101,3
102,6
103,7
104,6
105,2
106,1
107,3
108,4
109,6
110,2
111,3
112,7
113,2
114,4
115,2
116,7
117,1
118,3
119,3
120,2
121,3
122,4
123,3
124,3
126,3
127,2
128,3
129,1
130,3
131,4
132,1
133,2
134,3
136,6
137,1
139,2
141,3
142,3
143,2
144,1
145,2
146,1
147,4
148,1
149,2
152,1
153,3
154,1
155,3
157,4
158,3
159,1
160,2
161,1
162,1
163,2
164,2
165,4
168,2
169,3
170,1
171,2
173,4
174,1
175,2
178,1
179,2
180,1
181,1
183,1
184,1
187,1
188,4
189,1
191,2
192,4
193,1
194,1
196,4
197,3
200,3
202,1
204,1
205,3
206,1
207,1
208,4
209,1
210,3
211,2
212,1
214,1
216,2
217,2
218,3
219,1
220,1
222,2
224,2
225,2
228,2
229,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
241,1
243,1
244,1
245,1
246,1
247,2
248,1
249,1
251,1
253,3
254,1
256,1
257,1
258,1
259,1
266,1
269,1
271,1
273,1
278,1
279,1
280,2
282,1
283,1
284,1
285,1
286,2
288,1
291,2
292,2
296,1
298,1
302,1
303,1
304,2
309,2
311,1
322,1
326,1
327,1
330,2
333,1
334,1
335,1
336,1
338,1
344,1
346,1
347,2
349,1
356,1
363,1
365,1
370,1
386,1
391,1
396,2
398,1
399,2
407,2
412,1
419,1
428,1
447,1
449,2
477,1
506,1
536,1
539,1
551,1
721,1
724,1
910,1
914,1
968,1
