Degree,Actual,LOMAX,GLM Type-I,GLM Type-II,GLM Type-III,GLM Type-IV,,PowerLaw_Estimated,Pareto_Estimated,Lognormal_Estimated,PowerLaw_Cutoff_Estimated,Exponential_Estimated
1,4677,5490.531147,4678.633158,4658.040972,4661.119021,4982.283916,,10996.73914,10993.12216,3909.848654,6941.042539,2000.577231
2,3982,3487.078564,4196.262693,4235.781532,4248.773535,3772.156763,,3304.944,3303.856956,3294.748616,2992.971652,1817.58106
3,2986,2381.678242,2716.384853,2745.931195,2733.418381,2585.713388,,1635.894491,1635.356421,2526.859703,1817.81613,1651.323857
4,2022,1714.539796,1836.996178,1849.784059,1839.362256,1824.151784,,993.2630666,992.9363679,1943.991422,1270.30093,1500.274481
5,1349,1284.427792,1310.623197,1313.419149,1307.330542,1337.467275,,674.5057981,674.2839433,1520.529671,958.6016657,1363.041845
6,971,992.7193836,977.0522914,974.6978679,971.7292042,1014.715603,,491.6493528,491.4876422,1210.338036,759.4165902,1238.362111
7,747,786.777937,754.1430228,749.3347452,748.3020858,792.1083239,,376.3088473,376.1850739,978.9794505,622.1427271,1125.087041
8,563,636.5714325,598.4680803,592.6382328,592.747936,633.1168281,,298.5138385,298.4156529,803.1120208,522.3515152,1022.173433
9,432,524.0191523,485.744297,479.6429756,480.4034344,516.1125491,,243.3585766,243.2785325,667.0412738,446.8684156,928.6735066
10,354,437.7434166,401.6464711,395.6594575,396.7723812,427.7840435,,202.7149923,202.6483164,560.0739099,387.9900044,843.7261758
11,298,370.3142547,337.319278,331.6365228,332.9218881,359.6331088,,171.8285418,171.7720248,474.7859061,340.9249295,766.5491205
12,238,316.7242945,287.0647817,281.7702736,283.1198549,306.0529198,,147.759582,147.7109817,405.9214075,302.5440063,696.4315806
13,225,273.5059949,247.0884993,242.2089381,243.5582729,263.2350497,,128.607122,128.5648212,349.6895474,270.721075,632.7278102
14,183,238.2007176,214.7875788,210.3191431,211.6306296,228.5253723,,113.0953141,113.0581154,303.3085587,243.963366,574.851131
15,171,209.02862,188.3300678,184.2533083,185.5059297,200.0317643,,100.3406832,100.3076797,264.7047331,221.1934931,522.2685292
16,158,184.677349,166.3972541,162.6854263,163.8684358,176.3779061,,89.71491517,89.68540663,232.3098534,201.6153352,474.4957466
17,136,164.163259,148.020865,144.6445786,145.7535751,156.5445401,,80.76074514,80.73418176,204.9223856,184.6285155,431.092821
18,122,146.7381539,132.4773195,129.4070907,130.4415568,139.7646014,,73.13863293,73.11457658,181.6107172,169.7721617,391.6600341
19,96,131.8253228,119.2173287,116.4249307,117.3866773,125.4523986,,66.59195134,66.57004828,161.6446221,156.6869159,355.8342307
20,97,118.9748496,107.8179866,105.2771091,106.1692882,113.1548328,,60.92366916,60.90363048,144.4459959,145.0886604,323.2854739
21,72,107.8318626,97.94951632,95.63602925,96.4625061,102.5171849,,55.98037402,55.96196126,129.5529557,134.7499637,293.7140067
22,89,98.11363126,89.35177184,87.24376643,88.00872337,93.25872436,,51.64110021,51.6241147,116.5933485,125.4867317,266.8474915
23,78,89.59281317,81.81736243,79.89507187,80.60275959,85.15505717,,47.80937307,47.79364788,105.2649708,117.1484423,242.4385017
24,56,82.08504202,75.17935328,73.42501169,74.07959711,78.02517509,,44.40745001,44.39284376,95.32064058,109.6108934,220.2622434
25,76,75.43962319,69.30217902,67.69985413,68.30533051,71.72183245,,41.3720891,41.35848122,86.55681671,102.7707426,200.1144848
26,77,69.53248246,64.07484736,62.61026675,63.17040418,66.12431231,,38.65139753,38.63868452,78.80484096,96.541345,181.8096756
27,58,64.26076815,59.40579702,58.066179,58.58450096,61.13292965,,36.20245508,36.19054756,71.92414028,90.84954342,165.1792381
28,67,59.53868012,55.21896613,53.99286114,54.47263764,56.66481239,,33.98950132,33.97832168,65.79690677,85.633168,150.0700148
29,53,55.29421838,51.45075641,50.32790158,50.77215262,52.6506331,,31.98253835,31.97201883,60.32390265,80.8390685,136.3428577
30,39,51.46662802,48.04766776,47.01885542,47.43036072,49.03205497,,30.15624311,30.14632429,55.42112842,76.42155257,123.8713467
31,44,48.00437571,44.96443933,44.02139925,44.40271155,45.75971978,,28.48911319,28.47974271,51.01715893,72.34113569,112.5406258
32,38,44.86353579,42.16257714,41.2978718,41.65133187,42.79165082,,26.96279022,26.95392177,47.05099993,68.56353277,102.2463451
33,37,42.00649437,39.60917914,38.81611087,39.14386317,40.09197599,,25.56151975,25.5531122,43.4703531,65.05883901,92.8936996
34,38,39.40090194,37.27599105,36.54851995,36.85252821,37.62990011,,24.27171697,24.26373365,40.23020377,61.80085984,84.39655634
35,34,37.01882207,35.13864269,34.4713142,34.75337641,35.37887262,,23.08161502,23.07402314,37.29166523,58.76655944,76.67666109
36,39,34.83603523,33.17602647,32.5639075,32.82567011,33.31590936,,21.98097845,21.97374858,34.62102822,55.93560418,69.66291767
37,26,32.83146667,31.36978867,30.80841121,31.05138243,31.42103692,,20.96086827,20.95397394,32.18897542,53.28998241,63.29073319
